Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date,Unit,Source,Year,Month,Year-Month,Week
dry maize,white maize,-,-,ngurubani market,44.44,50,6500.0,Kirinyaga,2025-07-26,,,2025,July,2025-07,30
dry maize,mixed-traditional,-,-,makutano embu,42,50,,Embu,2025-07-26,,,2025,July,2025-07,30
dry maize,white maize,-,-,makutano kirinyaga,35,40,3800.0,Kirinyaga,2025-07-26,,,2025,July,2025-07,30
dry maize,white maize,-,-,kerugoya,45,65,4800.0,Kirinyaga,2025-07-25,,,2025,July,2025-07,30
dry maize,white maize,-,-,cheptulu,60,65,4500.0,Vihiga,2025-07-25,,,2025,July,2025-07,30
dry maize,white maize,-,-,ndanai market,50,65,18000.0,Bomet,2025-07-25,,,2025,July,2025-07,30
dry maize,white maize,-,-,voi retail,,60,360.0,Taita-Taveta,2025-07-25,,,2025,July,2025-07,30
dry maize,white maize,-,-,nyamakima,55.56,55,,Nairobi,2025-07-25,,,2025,July,2025-07,30
dry maize,yellow maize,-,-,gikomba,77.78,100,,Nairobi,2025-07-25,,,2025,July,2025-07,30
dry maize,white maize,-,-,gikomba,52.22,65,,Nairobi,2025-07-25,,,2025,July,2025-07,30
dry maize,white maize,-,-,kitale municipality market,55,65,200.0,Trans-Nzoia,2025-07-25,,,2025,July,2025-07,30
dry maize,mixed-traditional,-,-,kitale municipality market,50,60,300.0,Trans-Nzoia,2025-07-25,,,2025,July,2025-07,30
dry maize,white maize,-,-,kangemi market,51.11,6.39,,Nairobi,2025-07-24,,,2025,July,2025-07,30
dry maize,white maize,-,-,kangemi market,51.11,6.39,,Nairobi,2025-07-24,,,2025,July,2025-07,30
dry maize,white maize,-,-,kutus,48,55,,Kirinyaga,2025-07-24,,,2025,July,2025-07,30
dry maize,white maize,-,-,kipkaren,100,120,8000.0,Kakamega,2025-07-24,,,2025,July,2025-07,30
dry maize,white maize,-,-,katito,50,60,7500.0,Kisumu,2025-07-24,,,2025,July,2025-07,30
dry maize,white maize,-,-,maua,50,60,9900.0,Meru,2025-07-24,,,2025,July,2025-07,30
dry maize,white maize,-,-,mbale,,65,14000.0,Vihiga,2025-07-24,,,2025,July,2025-07,30
dry maize,white maize,-,-,kitale municipality market,50,65,400.0,Trans-Nzoia,2025-07-24,,,2025,July,2025-07,30
dry maize,mixed-traditional,-,-,kitale municipality market,50,60,600.0,Trans-Nzoia,2025-07-24,,,2025,July,2025-07,30
dry maize,white maize,-,-,nyamakima,55.56,55,,Nairobi,2025-07-24,,,2025,July,2025-07,30
dry maize,white maize,-,-,kawangware,55,65,,Nairobi,2025-07-24,,,2025,July,2025-07,30
dry maize,yellow maize,-,-,gikomba,77.78,100,,Nairobi,2025-07-24,,,2025,July,2025-07,30
dry maize,white maize,-,-,gikomba,52.22,65,,Nairobi,2025-07-24,,,2025,July,2025-07,30
Dry Maize,Mixed-Traditional,-,-,Ahero,67.5,70,4000.0,Kisumu,2025-07-23,,,2025,July,2025-07,30
Dry Maize,White Maize,-,-,Ahero,67.5,70,9000.0,Kisumu,2025-07-23,,,2025,July,2025-07,30
Dry Maize,White Maize,-,-,Cheptulu,-,65,4500.0,Vihiga,2025-07-23,,,2025,July,2025-07,30
Dry Maize,White Maize,-,-,Sabatia,50,54.17,4500.0,Kakamega,2025-07-23,,,2025,July,2025-07,30
Dry Maize,White Maize,-,-,Kangeta,50,60,650.0,Meru,2025-07-23,,,2025,July,2025-07,30
Dry Maize,White Maize,-,-,Mulot,47.78,65,8400.0,Bomet,2025-07-23,,,2025,July,2025-07,30
Dry Maize,White Maize,-,-,Nyamakima,55.56,55,,Nairobi,2025-07-23,,,2025,July,2025-07,30
Dry Maize,Yellow Maize,-,-,Gikomba,77.78,100,,Nairobi,2025-07-23,,,2025,July,2025-07,30
Dry Maize,White Maize,-,-,Gikomba,52.22,65,,Nairobi,2025-07-23,,,2025,July,2025-07,30
Dry Maize,White Maize,-,-,Ngurubani Market,42.22,50,6580.0,Kirinyaga,2025-07-22,,,2025,July,2025-07,30
Dry Maize,White Maize,-,-,Nyamakima,55.56,55,,Nairobi,2025-07-22,,,2025,July,2025-07,30
Dry Maize,White Maize,-,-,Kapkwen,52.22,60,30000.0,Bomet,2025-07-22,,,2025,July,2025-07,30
Dry Maize,White Maize,-,-,Mogogosiek Market,58.33,66.67,10800.0,Bomet,2025-07-22,,,2025,July,2025-07,30
Dry Maize,White Maize,-,-,Cheptulu,58.75,65,6000.0,Vihiga,2025-07-22,,,2025,July,2025-07,30
Dry Maize,White Maize,-,-,Kerugoya,50,65,4500.0,Kirinyaga,2025-07-22,,,2025,July,2025-07,30
Dry Maize,Mixed-Traditional,-,-,Nkubu,50,60,540.0,Meru,2025-07-22,,,2025,July,2025-07,30
Dry Maize,White Maize,-,-,Kawangware,55,65,,Nairobi,2025-07-22,,,2025,July,2025-07,30
Dry Maize,Mixed-Traditional,-,-,Chuka,44.44,60,3000.0,Tharaka-Nithi,2025-07-22,,,2025,July,2025-07,30
Dry Maize,Yellow Maize,-,-,Gikomba,77.78,100,,Nairobi,2025-07-22,,,2025,July,2025-07,30
Dry Maize,White Maize,-,-,Gikomba,52.22,65,,Nairobi,2025-07-22,,,2025,July,2025-07,30
Dry Maize,White Maize,-,-,Kutus,50,55,,Kirinyaga,2025-07-21,,,2025,July,2025-07,30
Dry Maize,White Maize,-,-,Kawangware,55,65,,Nairobi,2025-07-21,,,2025,July,2025-07,30
Dry Maize,Mixed-Traditional,-,-,Kawangware,-,80,,Nairobi,2025-07-21,,,2025,July,2025-07,30
Dry Maize,Yellow Maize,-,-,Gikomba,77.78,100,,Nairobi,2025-07-21,,,2025,July,2025-07,30
Dry Maize,Mixed-Traditional,-,-,Gikomba,52.22,65,,Nairobi,2025-07-21,,,2025,July,2025-07,30
Dry Maize,Yellow Maize,-,-,Kibuye,-,70,,Kisumu,2025-07-20,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Kibuye,55.56,65,,Kisumu,2025-07-20,,,2025,July,2025-07,29
Dry Maize,Mixed-Traditional,-,-,Kipkaren,70,130,8000.0,Kakamega,2025-07-20,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Muhoroni,51.92,57.69,40000.0,Kisumu,2025-07-20,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Khayega,53.33,56.67,15000.0,Kakamega,2025-07-20,,,2025,July,2025-07,29
Dry Maize,Mixed-Traditional,-,-,Kagio,40,60,70000.0,Kirinyaga,2025-07-19,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Bura market,50,50,1800.0,Tana-River,2025-07-19,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Makutano Kirinyaga,40,45,5400.0,Kirinyaga,2025-07-19,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Ngurubani Market,42.22,50,7200.0,Kirinyaga,2025-07-18,,,2025,July,2025-07,29
Dry Maize,Mixed-Traditional,-,-,Cheptulu,52.5,65,5800.0,Vihiga,2025-07-18,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Kerugoya,55,70,4500.0,Kirinyaga,2025-07-18,,,2025,July,2025-07,29
Dry Maize,Mixed-Traditional,-,-,Lungalunga,70,5000,7000.0,Kwale,2025-07-18,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Kawangware,55,65,,Nairobi,2025-07-18,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Wundanyi,-,60,900.0,Taita-Taveta,2025-07-18,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Kitale Municipality Market,55,65,300.0,Trans-Nzoia,2025-07-18,,,2025,July,2025-07,29
Dry Maize,Mixed-Traditional,-,-,Kitale Municipality Market,52.22,57.78,400.0,Trans-Nzoia,2025-07-18,,,2025,July,2025-07,29
Dry Maize,Yellow Maize,-,-,Gikomba,77.78,100,,Nairobi,2025-07-18,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Gikomba,52.22,65,,Nairobi,2025-07-18,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Kutus,50,55,,Kirinyaga,2025-07-17,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Kipkaren,70,80,8000.0,Kakamega,2025-07-17,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Kawangware,55,65,,Nairobi,2025-07-17,,,2025,July,2025-07,29
Dry Maize,Mixed-Traditional,-,-,Kawangware,-,80,,Nairobi,2025-07-17,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Cheptulu,58.75,65,5200.0,Vihiga,2025-07-17,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Kitale Municipality Market,50,65,500.0,Trans-Nzoia,2025-07-17,,,2025,July,2025-07,29
Dry Maize,Mixed-Traditional,-,-,Kitale Municipality Market,50,60,600.0,Trans-Nzoia,2025-07-17,,,2025,July,2025-07,29
Dry Maize,Yellow Maize,-,-,Gikomba,77.78,100,,Nairobi,2025-07-17,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Gikomba,52.22,65,,Nairobi,2025-07-17,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Nyamakima,55.56,55,,Nairobi,2025-07-16,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Nyamakima,55.56,55,,Nairobi,2025-07-16,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Makutano Kirinyaga,45,50,400.0,Kirinyaga,2025-07-16,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Makutano Kirinyaga,40,45,4200.0,Kirinyaga,2025-07-16,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Kawangware,55,65,,Nairobi,2025-07-16,,,2025,July,2025-07,29
Dry Maize,Mixed-Traditional,-,-,Kawangware,-,80,,Nairobi,2025-07-16,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Makutano Embu,42,50,,Embu,2025-07-16,,,2025,July,2025-07,29
Dry Maize,Yellow Maize,-,-,Gikomba,77.78,190,,Nairobi,2025-07-16,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Gikomba,52.22,65,,Nairobi,2025-07-16,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Ngurubani Market,42.22,50,6500.0,Kirinyaga,2025-07-15,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Kerugoya,55,70,4500.0,Kirinyaga,2025-07-15,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Kitale Municipality Market,55,65,300.0,Trans-Nzoia,2025-07-15,,,2025,July,2025-07,29
Dry Maize,Mixed-Traditional,-,-,Kitale Municipality Market,50,60,500.0,Trans-Nzoia,2025-07-15,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Nyamakima,57.78,60,,Nairobi,2025-07-15,,,2025,July,2025-07,29
Dry Maize,Mixed-Traditional,-,-,Nkubu,50,60,810.0,Meru,2025-07-15,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Kawangware,55,65,,Nairobi,2025-07-15,,,2025,July,2025-07,29
Dry Maize,Mixed-Traditional,-,-,Kawangware,-,80,,Nairobi,2025-07-15,,,2025,July,2025-07,29
Dry Maize,Mixed-Traditional,-,-,Chuka,50,60,3000.0,Tharaka-Nithi,2025-07-15,,,2025,July,2025-07,29
Dry Maize,Mixed-Traditional,-,-,Maua,53.33,60,1620.0,Meru,2025-07-15,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Maua,48.89,55,7650.0,Meru,2025-07-15,,,2025,July,2025-07,29
Dry Maize,Yellow Maize,-,-,Gikomba,77.78,100,,Nairobi,2025-07-15,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Gikomba,52.22,65,,Nairobi,2025-07-15,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Bondeni,55,65,300.0,Trans-Nzoia,2025-07-15,,,2025,July,2025-07,29
Dry Maize,Mixed-Traditional,-,-,Bondeni,50,60,500.0,Trans-Nzoia,2025-07-15,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Kutus,55,60,,Kirinyaga,2025-07-14,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Kangeta,50,60,600.0,Meru,2025-07-14,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Kawangware,55,65,,Nairobi,2025-07-14,,,2025,July,2025-07,29
Dry Maize,Mixed-Traditional,-,-,Kawangware,-,80,,Nairobi,2025-07-14,,,2025,July,2025-07,29
Dry Maize,Yellow Maize,-,-,Gikomba,77.78,100,,Nairobi,2025-07-14,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Gikomba,52.22,65,,Nairobi,2025-07-14,,,2025,July,2025-07,29
Dry Maize,White Maize,-,-,Kipkaren,70,100,8000.0,Kakamega,2025-07-13,,,2025,July,2025-07,28
Dry Maize,Yellow Maize,-,-,Kibuye,-,70,,Kisumu,2025-07-13,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Kibuye,6.67,70,,Kisumu,2025-07-13,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Khayega,55.56,57.78,25000.0,Kakamega,2025-07-13,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Muhoroni,50,53.85,6500.0,Kisumu,2025-07-13,,,2025,July,2025-07,28
Dry Maize,Yellow Maize,-,-,Gikomba,70,100,,Nairobi,2025-07-13,,,2025,July,2025-07,28
Dry Maize,Mixed-Traditional,-,-,Mulot,53.33,70,5800.0,Bomet,2025-07-12,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Ngurubani Market,44.44,50,6500.0,Kirinyaga,2025-07-11,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Ndanai Market,53.33,140,45000.0,Bomet,2025-07-11,,,2025,July,2025-07,28
Dry Maize,Mixed-Traditional,-,-,Cheptulu,60,65,4200.0,Vihiga,2025-07-11,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Kisasi,48,60,,Kitui,2025-07-11,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Mumias,57.78,68.18,4680.0,Kakamega,2025-07-11,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Kerugoya,45,65,4500.0,Kirinyaga,2025-07-11,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Nyamakima,57.78,60,,Nairobi,2025-07-11,,,2025,July,2025-07,28
Dry Maize,Mixed-Traditional,-,-,Chuka,50,60,3000.0,Tharaka-Nithi,2025-07-11,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Gikomba,52.22,65,,Nairobi,2025-07-11,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Kawangware,55,65,,Nairobi,2025-07-11,,,2025,July,2025-07,28
Dry Maize,Mixed-Traditional,-,-,Kawangware,-,80,,Nairobi,2025-07-11,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Gakoromone,47.78,50,32000.0,Meru,2025-07-11,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Katito,50,65,7500.0,Kisumu,2025-07-10,,,2025,July,2025-07,28
Dry Maize,Mixed-Traditional,-,-,Cheptulu,60,65,3800.0,Vihiga,2025-07-10,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Kipkaren,70,100,8000.0,Kakamega,2025-07-10,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Nyamakima,57.78,60,,Nairobi,2025-07-10,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Kawangware,55,65,,Nairobi,2025-07-10,,,2025,July,2025-07,28
Dry Maize,Mixed-Traditional,-,-,Kawangware,-,80,,Nairobi,2025-07-10,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Kitale Municipality Market,55,65,400.0,Trans-Nzoia,2025-07-10,,,2025,July,2025-07,28
Dry Maize,Mixed-Traditional,-,-,Kitale Municipality Market,52.22,58.89,600.0,Trans-Nzoia,2025-07-10,,,2025,July,2025-07,28
Dry Maize,Yellow Maize,-,-,Gikomba,77.78,100,,Nairobi,2025-07-10,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Gikomba,52.22,65,,Nairobi,2025-07-10,,,2025,July,2025-07,28
Dry Maize,Mixed-Traditional,-,-,Makutano Embu,44,50,,Embu,2025-07-09,,,2025,July,2025-07,28
Dry Maize,Mixed-Traditional,-,-,Cheptulu,60,65,4700.0,Vihiga,2025-07-09,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Nyamakima,57.78,60,,Nairobi,2025-07-09,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Kangeta,50,60,600.0,Meru,2025-07-09,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Kangeta,50,60,600.0,Meru,2025-07-09,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Kangeta,50,60,600.0,Meru,2025-07-09,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Kangeta,50,60,600.0,Meru,2025-07-09,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Kangeta,50,60,600.0,Meru,2025-07-09,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Kangeta,50,60,600.0,Meru,2025-07-09,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Kawangware,55,65,,Nairobi,2025-07-09,,,2025,July,2025-07,28
Dry Maize,Mixed-Traditional,-,-,Kawangware,-,80,,Nairobi,2025-07-09,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Mwatate,46.67,50,4500.0,Taita-Taveta,2025-07-09,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Bura market,50,60,1800.0,Tana-River,2025-07-09,,,2025,July,2025-07,28
Dry Maize,Yellow Maize,-,-,Gikomba,77.78,100,,Nairobi,2025-07-09,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Gikomba,52.22,65,,Nairobi,2025-07-09,,,2025,July,2025-07,28
Dry Maize,Mixed-Traditional,-,-,Kitale Municipality Market,50,60,400.0,Trans-Nzoia,2025-07-09,,,2025,July,2025-07,28
Dry Maize,Yellow Maize,-,-,Holo,-,75,,Kisumu,2025-07-08,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Ahero,65,70,40000.0,Kisumu,2025-07-08,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Holo,48.89,70,,Kisumu,2025-07-08,,,2025,July,2025-07,28
Dry Maize,Mixed-Traditional,-,-,Ahero,65,70,25000.0,Kisumu,2025-07-08,,,2025,July,2025-07,28
Dry Maize,Mixed-Traditional,-,-,Cheptulu,60,65,4000.0,Vihiga,2025-07-08,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Kerugoya,50,70,4500.0,Kirinyaga,2025-07-08,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Ngurubani Market,44.44,50,8225.0,Kirinyaga,2025-07-08,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Kitale Municipality Market,55,65,300.0,Trans-Nzoia,2025-07-08,,,2025,July,2025-07,28
Dry Maize,Mixed-Traditional,-,-,Kitale Municipality Market,50,60,500.0,Trans-Nzoia,2025-07-08,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Nyamakima,57.78,60,,Nairobi,2025-07-08,,,2025,July,2025-07,28
Dry Maize,Mixed-Traditional,-,-,Nkubu,50,60,630.0,Meru,2025-07-08,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Maua,53.33,60,5400.0,Meru,2025-07-08,,,2025,July,2025-07,28
Dry Maize,Mixed-Traditional,-,-,Maua,53.33,60,1800.0,Meru,2025-07-08,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Kapkwen,52.22,58,45000.0,Bomet,2025-07-08,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Bondeni,55,65,400.0,Trans-Nzoia,2025-07-08,,,2025,July,2025-07,28
Dry Maize,Mixed-Traditional,-,-,Bondeni,50,60,600.0,Trans-Nzoia,2025-07-08,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Mogogosiek Market,66.67,79.17,10800.0,Bomet,2025-07-08,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Kangemi Market,54.44,56,,Nairobi,2025-07-08,,,2025,July,2025-07,28
Dry Maize,Mixed-Traditional,-,-,Chuka,50,60,3000.0,Tharaka-Nithi,2025-07-08,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Kawangware,55,65,,Nairobi,2025-07-08,,,2025,July,2025-07,28
Dry Maize,Mixed-Traditional,-,-,Kawangware,-,80,,Nairobi,2025-07-08,,,2025,July,2025-07,28
Dry Maize,Yellow Maize,-,-,Gikomba,77.78,100,,Nairobi,2025-07-08,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Gikomba,52.22,65,,Nairobi,2025-07-08,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Cheptulu,58.75,65,4500.0,Vihiga,2025-07-07,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Bura market,40,50,9000.0,Tana-River,2025-07-07,,,2025,July,2025-07,28
Dry Maize,White Maize,-,-,Kisasi,45,65,,Kitui,2025-07-07,,,2025,July,2025-07,28
Dry Maize,Yellow Maize,-,-,Kibuye,-,65,,Kisumu,2025-07-06,,,2025,July,2025-07,27
Dry Maize,White Maize,-,-,Kibuye,62.22,75,,Kisumu,2025-07-06,,,2025,July,2025-07,27
Dry Maize,White Maize,-,-,Mwatate,40,45,,Taita-Taveta,2025-07-05,,,2025,July,2025-07,27
