County,Date,WholeSale,Commodity_Classification,Year_Week,WeekofYear
Kirinyaga,2024-01-03,44.44,Dry_White_Maize,2024-00,1
Uasin-Gishu,2024-01-03,44.44,Dry_White_Maize,2024-00,1
Kirinyaga,2024-01-03,47.78,Dry_White_Maize,2024-00,1
Kisumu,2024-01-03,43.33,Dry_White_Maize,2024-00,1
Nairobi,2024-01-03,45.56,Dry_White_Maize,2024-00,1
Nairobi,2024-01-03,45.56,Dry_White_Maize,2024-00,1
Kisumu,2024-01-03,50.0,Dry_White_Maize,2024-00,1
Kirinyaga,2024-01-09,44.44,Dry_White_Maize,2024-01,2
Embu,2024-01-09,45.56,Dry_White_Maize,2024-01,2
Nairobi,2024-01-16,45.56,Dry_White_Maize,2024-02,3
Kiambu,2024-01-16,47.78,Dry_White_Maize,2024-02,3
Nairobi,2024-01-16,46.11,Dry_White_Maize,2024-02,3
Kirinyaga,2024-01-16,43.33,Dry_White_Maize,2024-02,3
Uasin-Gishu,2024-01-16,45.56,Dry_White_Maize,2024-02,3
Uasin-Gishu,2024-01-16,42.22,Dry_White_Maize,2024-02,3
Nairobi,2024-01-18,46.37,Dry_White_Maize,2024-02,3
Uasin-Gishu,2024-01-23,43.89,Dry_White_Maize,2024-03,4
Uasin-Gishu,2024-01-23,42.22,Dry_White_Maize,2024-03,4
Nairobi,2024-01-23,45.56,Dry_White_Maize,2024-03,4
Nairobi,2024-01-23,46.11,Dry_White_Maize,2024-03,4
Kirinyaga,2024-01-30,43.33,Dry_White_Maize,2024-04,5
Nairobi,2024-01-31,45.52,Dry_White_Maize,2024-04,5
Uasin-Gishu,2024-01-31,44.19,Dry_White_Maize,2024-04,5
Mombasa,2024-02-08,43.33,Dry_White_Maize,2024-05,6
Kirinyaga,2024-02-08,44.44,Dry_White_Maize,2024-05,6
Nairobi,2024-02-08,43.33,Dry_White_Maize,2024-05,6
Kirinyaga,2024-02-08,44.44,Dry_White_Maize,2024-05,6
Uasin-Gishu,2024-02-08,43.33,Dry_White_Maize,2024-05,6
Uasin-Gishu,2024-02-08,42.22,Dry_White_Maize,2024-05,6
Kisumu,2024-02-08,43.33,Dry_White_Maize,2024-05,6
Kiambu,2024-02-08,47.78,Dry_White_Maize,2024-05,6
Uasin-Gishu,2024-02-15,41.11,Dry_White_Maize,2024-06,7
Kiambu,2024-02-15,44.44,Dry_White_Maize,2024-06,7
Mombasa,2024-02-15,44.44,Dry_White_Maize,2024-06,7
Mombasa,2024-02-15,41.11,Dry_White_Maize,2024-06,7
Nairobi,2024-02-15,41.11,Dry_White_Maize,2024-06,7
Nairobi,2024-02-15,41.11,Dry_White_Maize,2024-06,7
Kirinyaga,2024-02-15,43.33,Dry_White_Maize,2024-06,7
Uasin-Gishu,2024-02-15,40.0,Dry_White_Maize,2024-06,7
Uasin-Gishu,2024-02-15,41.11,Dry_White_Maize,2024-06,7
Nairobi,2024-02-19,39.99,Dry_White_Maize,2024-07,8
Kirinyaga,2024-02-26,41.11,Dry_White_Maize,2024-08,9
Nairobi,2024-02-26,37.78,Dry_White_Maize,2024-08,9
Nairobi,2024-02-26,40.0,Dry_White_Maize,2024-08,9
Mombasa,2024-02-26,37.78,Dry_White_Maize,2024-08,9
Kirinyaga,2024-02-26,42.22,Dry_White_Maize,2024-08,9
Kisumu,2024-03-08,36.11,Dry_White_Maize,2024-09,10
Kiambu,2024-03-08,37.78,Dry_White_Maize,2024-09,10
Nairobi,2024-03-08,36.11,Dry_White_Maize,2024-09,10
Kirinyaga,2024-03-08,28.89,Dry_White_Maize,2024-09,10
Uasin-Gishu,2024-03-08,36.67,Dry_White_Maize,2024-09,10
Uasin-Gishu,2024-03-08,36.11,Dry_White_Maize,2024-09,10
Mombasa,2024-03-08,36.11,Dry_White_Maize,2024-09,10
Nairobi,2024-03-21,35.56,Dry_White_Maize,2024-11,12
Mombasa,2024-03-21,35.56,Dry_White_Maize,2024-11,12
Uasin-Gishu,2024-03-22,35.56,Dry_White_Maize,2024-11,12
Uasin-Gishu,2024-03-22,36.67,Dry_White_Maize,2024-11,12
Uasin-Gishu,2024-03-22,32.22,Dry_White_Maize,2024-11,12
Kiambu,2024-03-22,39.44,Dry_White_Maize,2024-11,12
Nairobi,2024-03-22,36.11,Dry_White_Maize,2024-11,12
Kirinyaga,2024-03-22,35.56,Dry_White_Maize,2024-11,12
Kisumu,2024-03-22,35.56,Dry_White_Maize,2024-11,12
Nairobi,2024-03-26,34.0,Dry_White_Maize,2024-12,13
Nairobi,2024-03-26,47.0,Dry_White_Maize,2024-12,13
Nairobi,2024-03-26,36.0,Dry_White_Maize,2024-12,13
Nairobi,2024-04-03,35.56,Dry_White_Maize,2024-13,14
Uasin-Gishu,2024-04-16,35.56,Dry_White_Maize,2024-15,16
Uasin-Gishu,2024-04-16,35.16,Dry_White_Maize,2024-15,16
Uasin-Gishu,2024-04-17,35.0,Dry_White_Maize,2024-15,16
Uasin-Gishu,2024-04-17,35.56,Dry_White_Maize,2024-15,16
Nairobi,2024-04-17,35.56,Dry_White_Maize,2024-15,16
Mombasa,2024-04-17,35.56,Dry_White_Maize,2024-15,16
Uasin-Gishu,2024-04-17,35.56,Dry_White_Maize,2024-15,16
Nairobi,2024-04-22,38.0,Dry_White_Maize,2024-16,17
Mombasa,2024-04-23,33.89,Dry_White_Maize,2024-16,17
Uasin-Gishu,2024-04-23,34.44,Dry_White_Maize,2024-16,17
Uasin-Gishu,2024-04-23,34.44,Dry_White_Maize,2024-16,17
Kirinyaga,2024-04-23,34.44,Dry_White_Maize,2024-16,17
Uasin-Gishu,2024-04-23,33.33,Dry_White_Maize,2024-16,17
Nairobi,2024-04-23,33.89,Dry_White_Maize,2024-16,17
Nairobi,2024-04-23,35.0,Dry_White_Maize,2024-16,17
Uasin-Gishu,2024-04-23,34.07,Dry_White_Maize,2024-16,17
Nairobi,2024-04-30,33.33,Dry_White_Maize,2024-17,18
Uasin-Gishu,2024-04-30,34.44,Dry_White_Maize,2024-17,18
Mombasa,2024-04-30,34.44,Dry_White_Maize,2024-17,18
Uasin-Gishu,2024-04-30,33.33,Dry_White_Maize,2024-17,18
Uasin-Gishu,2024-04-30,33.33,Dry_White_Maize,2024-17,18
Uasin-Gishu,2024-04-30,34.07,Dry_White_Maize,2024-17,18
Nairobi,2024-05-07,36.6,Dry_White_Maize,2024-18,19
Nairobi,2024-05-08,36.6,Dry_White_Maize,2024-18,19
Nairobi,2024-05-09,36.6,Dry_White_Maize,2024-18,19
Nairobi,2024-05-13,36.6,Dry_White_Maize,2024-19,20
Nairobi,2024-05-14,36.6,Dry_White_Maize,2024-19,20
Nairobi,2024-05-15,36.6,Dry_White_Maize,2024-19,20
Nairobi,2024-05-15,36.51,Dry_White_Maize,2024-19,20
Nairobi,2024-05-16,36.67,Dry_White_Maize,2024-19,20
Mombasa,2024-05-16,32.78,Dry_White_Maize,2024-19,20
Uasin-Gishu,2024-05-16,33.33,Dry_White_Maize,2024-19,20
Kirinyaga,2024-05-16,33.33,Dry_White_Maize,2024-19,20
Uasin-Gishu,2024-05-16,32.22,Dry_White_Maize,2024-19,20
Nairobi,2024-05-16,35.0,Dry_White_Maize,2024-19,20
Nairobi,2024-05-16,36.6,Dry_White_Maize,2024-19,20
Nairobi,2024-05-17,36.6,Dry_White_Maize,2024-19,20
Nairobi,2024-05-23,36.67,Dry_White_Maize,2024-20,21
Kirinyaga,2024-05-24,35.56,Dry_White_Maize,2024-20,21
Uasin-Gishu,2024-05-24,34.44,Dry_White_Maize,2024-20,21
Uasin-Gishu,2024-05-24,34.44,Dry_White_Maize,2024-20,21
Mombasa,2024-05-24,32.78,Dry_White_Maize,2024-20,21
Nairobi,2024-05-24,34.44,Dry_White_Maize,2024-20,21
Nairobi,2024-05-29,38.33,Dry_White_Maize,2024-21,22
,2024-05-31,35.87,Dry_White_Maize,2024-21,22
Nairobi,2024-05-31,38.33,Dry_White_Maize,2024-21,22
Nairobi,2024-05-31,38.33,Dry_White_Maize,2024-21,22
Nairobi,2024-06-03,38.33,Dry_White_Maize,2024-22,23
Bungoma,2024-06-07,32.77,Dry_White_Maize,2024-22,23
Uasin-Gishu,2024-06-10,35.56,Dry_White_Maize,2024-23,24
Kiambu,2024-06-10,33.33,Dry_White_Maize,2024-23,24
Mombasa,2024-06-10,32.22,Dry_White_Maize,2024-23,24
Uasin-Gishu,2024-06-10,32.22,Dry_White_Maize,2024-23,24
Kirinyaga,2024-06-10,33.33,Dry_White_Maize,2024-23,24
Uasin-Gishu,2024-06-10,32.22,Dry_White_Maize,2024-23,24
Uasin-Gishu,2024-06-13,25.88,Dry_White_Maize,2024-23,24
Mombasa,2024-06-20,32.22,Dry_White_Maize,2024-24,25
Nairobi,2024-06-20,32.22,Dry_White_Maize,2024-24,25
Uasin-Gishu,2024-06-20,32.22,Dry_White_Maize,2024-24,25
Kirinyaga,2024-06-20,33.33,Dry_White_Maize,2024-24,25
Nairobi,2024-07-05,27.78,Dry_White_Maize,2024-26,27
Mombasa,2024-07-05,27.78,Dry_White_Maize,2024-26,27
Kirinyaga,2024-07-15,34.44,Dry_White_Maize,2024-28,29
Nairobi,2024-07-15,32.22,Dry_White_Maize,2024-28,29
Kisumu,2024-07-16,42.22,Dry_White_Maize,2024-28,29
Mombasa,2024-07-22,32.22,Dry_White_Maize,2024-29,30
Uasin-Gishu,2024-07-22,32.22,Dry_White_Maize,2024-29,30
Uasin-Gishu,2024-07-29,32.22,Dry_White_Maize,2024-30,31
Nairobi,2024-07-29,34.44,Dry_White_Maize,2024-30,31
Kirinyaga,2024-07-29,33.33,Dry_White_Maize,2024-30,31
Kiambu,2024-07-29,32.22,Dry_White_Maize,2024-30,31
Uasin-Gishu,2024-07-29,32.22,Dry_White_Maize,2024-30,31
Kirinyaga,2024-07-29,35.56,Dry_White_Maize,2024-30,31
Bungoma,2024-08-16,33.89,Dry_White_Maize,2024-32,33
Nairobi,2024-08-21,32.22,Dry_White_Maize,2024-33,34
Uasin-Gishu,2024-08-21,32.78,Dry_White_Maize,2024-33,34
Uasin-Gishu,2024-08-21,35.56,Dry_White_Maize,2024-33,34
Uasin-Gishu,2024-09-03,29.61,Dry_White_Maize,2024-35,36
Uasin-Gishu,2024-09-11,33.33,Dry_White_Maize,2024-36,37
Nairobi,2024-09-11,32.78,Dry_White_Maize,2024-36,37
Nairobi,2024-09-11,31.11,Dry_White_Maize,2024-36,37
Uasin-Gishu,2024-09-16,29.17,Dry_White_Maize,2024-37,38
Uasin-Gishu,2024-09-19,30.0,Dry_White_Maize,2024-37,38
Nairobi,2024-09-23,31.11,Dry_White_Maize,2024-38,39
Nairobi,2024-09-23,32.78,Dry_White_Maize,2024-38,39
Uasin-Gishu,2024-09-23,33.33,Dry_White_Maize,2024-38,39
Nairobi,2024-09-30,31.11,Dry_White_Maize,2024-39,40
Nairobi,2024-09-30,32.22,Dry_White_Maize,2024-39,40
Uasin-Gishu,2024-09-30,31.11,Dry_White_Maize,2024-39,40
Nairobi,2024-09-30,31.11,Dry_White_Maize,2024-39,40
Kisumu,2024-09-30,32.22,Dry_White_Maize,2024-39,40
Meru,2024-09-30,30.0,Dry_White_Maize,2024-39,40
Uasin-Gishu,2024-10-02,30.51,Dry_White_Maize,2024-39,40
Bungoma,2024-10-16,32.23,Dry_White_Maize,2024-41,42
Nairobi,2024-10-23,33.33,Dry_White_Maize,2024-42,43
Nairobi,2024-10-23,35.0,Dry_White_Maize,2024-42,43
Uasin-Gishu,2024-10-23,31.67,Dry_White_Maize,2024-42,43
Uasin-Gishu,2024-10-23,33.33,Dry_White_Maize,2024-42,43
Kisumu,2024-10-23,42.22,Dry_White_Maize,2024-42,43
Nairobi,2024-10-24,35.56,Dry_White_Maize,2024-42,43
,2024-10-24,30.7,Dry_White_Maize,2024-42,43
Busia,2024-10-25,30.0,Dry_White_Maize,2024-42,43
Nairobi,2024-10-25,35.3,Dry_White_Maize,2024-42,43
Uasin-Gishu,2024-10-28,34.76,Dry_White_Maize,2024-43,44
,2024-10-29,31.59,Dry_White_Maize,2024-43,44
Kakamega,2024-11-02,30.0,Dry_White_Maize,2024-43,44
Uasin-Gishu,2024-11-05,35.33,Dry_White_Maize,2024-44,45
Uasin-Gishu,2024-11-05,35.55,Dry_White_Maize,2024-44,45
Kiambu,2024-11-06,38.33,Dry_White_Maize,2024-44,45
Kiambu,2024-11-08,38.33,Dry_White_Maize,2024-44,45
Kiambu,2024-11-13,41.11,Dry_White_Maize,2024-45,46
Nairobi,2024-11-16,42.84,Dry_White_Maize,2024-45,46
Uasin-Gishu,2024-11-16,42.23,Dry_White_Maize,2024-45,46
Uasin-Gishu,2024-11-21,39.44,Dry_White_Maize,2024-46,47
Kiambu,2024-11-21,43.89,Dry_White_Maize,2024-46,47
Uasin-Gishu,2024-11-21,41.11,Dry_White_Maize,2024-46,47
Kiambu,2024-11-21,42.22,Dry_White_Maize,2024-46,47
Kiambu,2024-11-21,40.81,Dry_White_Maize,2024-46,47
Nairobi,2024-11-22,41.39,Dry_White_Maize,2024-46,47
Kiambu,2024-11-25,40.81,Dry_White_Maize,2024-47,48
Kisumu,2024-11-25,40.81,Dry_White_Maize,2024-47,48
Uasin-Gishu,2024-11-25,37.38,Dry_White_Maize,2024-47,48
Nairobi,2024-11-27,41.91,Dry_White_Maize,2024-47,48
Nairobi,2024-11-28,42.14,Dry_White_Maize,2024-47,48
Nairobi,2024-12-03,42.14,Dry_White_Maize,2024-48,49
Nairobi,2024-12-04,42.69,Dry_White_Maize,2024-48,49
Kiambu,2024-12-05,41.91,Dry_White_Maize,2024-48,49
Kiambu,2024-12-06,40.55,Dry_White_Maize,2024-48,49
Kiambu,2024-12-09,40.55,Dry_White_Maize,2024-49,50
Uasin-Gishu,2024-12-09,39.97,Dry_White_Maize,2024-49,50
Kiambu,2024-12-10,40.55,Dry_White_Maize,2024-49,50
Uasin-Gishu,2024-12-10,40.0,Dry_White_Maize,2024-49,50
Kiambu,2024-12-10,40.55,Dry_White_Maize,2024-49,50
Kiambu,2024-12-10,40.55,Dry_White_Maize,2024-49,50
Uasin-Gishu,2024-12-30,36.89,Dry_White_Maize,2024-52,1
Uasin-Gishu,2024-12-30,36.89,Dry_White_Maize,2024-52,1
Uasin-Gishu,2024-12-30,39.44,Dry_White_Maize,2024-52,1
Uasin-Gishu,2024-12-31,36.66,Dry_White_Maize,2024-52,1
Uasin-Gishu,2025-01-03,36.44,Dry_White_Maize,2025-00,1
Uasin-Gishu,2025-01-06,39.44,Dry_White_Maize,2025-01,2
Uasin-Gishu,2025-01-06,36.44,Dry_White_Maize,2025-01,2
Uasin-Gishu,2025-01-07,36.44,Dry_White_Maize,2025-01,2
Uasin-Gishu,2025-01-09,37.22,Dry_White_Maize,2025-01,2
Uasin-Gishu,2025-01-09,36.45,Dry_White_Maize,2025-01,2
Kiambu,2025-01-09,41.11,Dry_White_Maize,2025-01,2
Uasin-Gishu,2025-01-09,36.44,Dry_White_Maize,2025-01,2
Uasin-Gishu,2025-01-10,37.22,Dry_White_Maize,2025-01,2
Uasin-Gishu,2025-01-10,36.44,Dry_White_Maize,2025-01,2
Uasin-Gishu,2025-01-10,36.45,Dry_White_Maize,2025-01,2
Uasin-Gishu,2025-01-11,37.22,Dry_White_Maize,2025-01,2
Uasin-Gishu,2025-01-11,36.44,Dry_White_Maize,2025-01,2
Uasin-Gishu,2025-01-11,36.44,Dry_White_Maize,2025-01,2
Uasin-Gishu,2025-01-13,36.45,Dry_White_Maize,2025-02,3
Uasin-Gishu,2025-01-14,36.67,Dry_White_Maize,2025-02,3
Uasin-Gishu,2025-01-14,37.22,Dry_White_Maize,2025-02,3
Uasin-Gishu,2025-01-15,36.44,Dry_White_Maize,2025-02,3
Kiambu,2025-01-15,42.22,Dry_White_Maize,2025-02,3
Uasin-Gishu,2025-01-15,36.44,Dry_White_Maize,2025-02,3
Uasin-Gishu,2025-01-16,36.44,Dry_White_Maize,2025-02,3
Uasin-Gishu,2025-01-16,36.67,Dry_White_Maize,2025-02,3
Uasin-Gishu,2025-01-16,37.78,Dry_White_Maize,2025-02,3
Kiambu,2025-01-16,42.78,Dry_White_Maize,2025-02,3
Uasin-Gishu,2025-01-20,37.78,Dry_White_Maize,2025-03,4
Uasin-Gishu,2025-01-20,36.44,Dry_White_Maize,2025-03,4
Uasin-Gishu,2025-01-21,37.22,Dry_White_Maize,2025-03,4
Uasin-Gishu,2025-01-21,37.22,Dry_White_Maize,2025-03,4
Uasin-Gishu,2025-01-21,37.22,Dry_White_Maize,2025-03,4
Uasin-Gishu,2025-01-22,37.22,Dry_White_Maize,2025-03,4
Uasin-Gishu,2025-01-22,37.78,Dry_White_Maize,2025-03,4
Uasin-Gishu,2025-01-22,38.33,Dry_White_Maize,2025-03,4
Uasin-Gishu,2025-01-22,37.22,Dry_White_Maize,2025-03,4
Uasin-Gishu,2025-01-22,38.33,Dry_White_Maize,2025-03,4
Uasin-Gishu,2025-01-23,37.78,Dry_White_Maize,2025-03,4
Uasin-Gishu,2025-01-23,37.78,Dry_White_Maize,2025-03,4
Uasin-Gishu,2025-01-23,37.78,Dry_White_Maize,2025-03,4
Uasin-Gishu,2025-01-23,37.22,Dry_White_Maize,2025-03,4
Uasin-Gishu,2025-01-23,37.78,Dry_White_Maize,2025-03,4
Uasin-Gishu,2025-01-24,37.78,Dry_White_Maize,2025-03,4
Uasin-Gishu,2025-01-24,38.89,Dry_White_Maize,2025-03,4
Uasin-Gishu,2025-01-24,37.78,Dry_White_Maize,2025-03,4
Kiambu,2025-01-24,42.55,Dry_White_Maize,2025-03,4
Nairobi,2025-01-24,42.22,Dry_White_Maize,2025-03,4
Uasin-Gishu,2025-01-24,37.22,Dry_White_Maize,2025-03,4
Uasin-Gishu,2025-01-27,37.78,Dry_White_Maize,2025-04,5
Kiambu,2025-01-27,42.55,Dry_White_Maize,2025-04,5
Kiambu,2025-01-27,42.55,Dry_White_Maize,2025-04,5
Kiambu,2025-01-27,42.55,Dry_White_Maize,2025-04,5
Kiambu,2025-01-27,42.22,Dry_White_Maize,2025-04,5
Kiambu,2025-01-27,42.55,Dry_White_Maize,2025-04,5
Kiambu,2025-01-28,42.55,Dry_White_Maize,2025-04,5
Uasin-Gishu,2025-01-28,37.78,Dry_White_Maize,2025-04,5
Kiambu,2025-01-28,42.55,Dry_White_Maize,2025-04,5
Uasin-Gishu,2025-01-29,37.78,Dry_White_Maize,2025-04,5
Uasin-Gishu,2025-01-29,37.78,Dry_White_Maize,2025-04,5
Uasin-Gishu,2025-01-29,37.78,Dry_White_Maize,2025-04,5
Kiambu,2025-01-29,42.22,Dry_White_Maize,2025-04,5
Uasin-Gishu,2025-01-29,37.78,Dry_White_Maize,2025-04,5
Uasin-Gishu,2025-01-30,37.78,Dry_White_Maize,2025-04,5
Kiambu,2025-01-30,40.56,Dry_White_Maize,2025-04,5
Uasin-Gishu,2025-01-30,37.78,Dry_White_Maize,2025-04,5
Uasin-Gishu,2025-01-30,37.78,Dry_White_Maize,2025-04,5
Uasin-Gishu,2025-01-31,37.78,Dry_White_Maize,2025-04,5
Uasin-Gishu,2025-01-31,37.78,Dry_White_Maize,2025-04,5
Uasin-Gishu,2025-01-31,37.78,Dry_White_Maize,2025-04,5
Uasin-Gishu,2025-01-31,39.0,Dry_White_Maize,2025-04,5
Kiambu,2025-01-31,42.22,Dry_White_Maize,2025-04,5
Kiambu,2025-01-31,42.55,Dry_White_Maize,2025-04,5
Uasin-Gishu,2025-01-31,36.67,Dry_White_Maize,2025-04,5
Uasin-Gishu,2025-01-31,37.78,Dry_White_Maize,2025-04,5
Kiambu,2025-01-31,42.55,Dry_White_Maize,2025-04,5
Uasin-Gishu,2025-01-31,36.67,Dry_White_Maize,2025-04,5
Uasin-Gishu,2025-02-03,39.0,Dry_White_Maize,2025-05,6
Uasin-Gishu,2025-02-03,37.78,Dry_White_Maize,2025-05,6
Kiambu,2025-02-03,42.55,Dry_White_Maize,2025-05,6
Uasin-Gishu,2025-02-03,36.67,Dry_White_Maize,2025-05,6
Kiambu,2025-02-03,42.55,Dry_White_Maize,2025-05,6
Uasin-Gishu,2025-02-03,37.78,Dry_White_Maize,2025-05,6
Kiambu,2025-02-03,42.55,Dry_White_Maize,2025-05,6
Kiambu,2025-02-04,42.55,Dry_White_Maize,2025-05,6
Kiambu,2025-02-04,42.55,Dry_White_Maize,2025-05,6
Uasin-Gishu,2025-02-05,37.78,Dry_White_Maize,2025-05,6
Kiambu,2025-02-05,42.55,Dry_White_Maize,2025-05,6
Uasin-Gishu,2025-02-05,37.78,Dry_White_Maize,2025-05,6
Kiambu,2025-02-05,42.55,Dry_White_Maize,2025-05,6
Uasin-Gishu,2025-02-05,37.78,Dry_White_Maize,2025-05,6
Uasin-Gishu,2025-02-06,37.78,Dry_White_Maize,2025-05,6
Uasin-Gishu,2025-02-06,40.0,Dry_White_Maize,2025-05,6
Uasin-Gishu,2025-02-06,40.0,Dry_White_Maize,2025-05,6
Uasin-Gishu,2025-02-06,36.67,Dry_White_Maize,2025-05,6
Uasin-Gishu,2025-02-06,37.78,Dry_White_Maize,2025-05,6
Kiambu,2025-02-06,42.55,Dry_White_Maize,2025-05,6
Uasin-Gishu,2025-02-06,35.7,Dry_White_Maize,2025-05,6
Uasin-Gishu,2025-02-07,40.0,Dry_White_Maize,2025-05,6
Uasin-Gishu,2025-02-07,40.0,Dry_White_Maize,2025-05,6
Uasin-Gishu,2025-02-07,36.26,Dry_White_Maize,2025-05,6
Kiambu,2025-02-07,42.55,Dry_White_Maize,2025-05,6
Kiambu,2025-02-07,42.55,Dry_White_Maize,2025-05,6
Uasin-Gishu,2025-02-08,40.0,Dry_White_Maize,2025-05,6
Kiambu,2025-02-08,42.55,Dry_White_Maize,2025-05,6
Uasin-Gishu,2025-02-10,36.26,Dry_White_Maize,2025-06,7
Kiambu,2025-02-10,42.55,Dry_White_Maize,2025-06,7
Uasin-Gishu,2025-02-11,40.0,Dry_White_Maize,2025-06,7
Kiambu,2025-02-11,42.55,Dry_White_Maize,2025-06,7
Uasin-Gishu,2025-02-11,37.78,Dry_White_Maize,2025-06,7
Kiambu,2025-02-11,42.55,Dry_White_Maize,2025-06,7
Uasin-Gishu,2025-02-12,40.0,Dry_White_Maize,2025-06,7
Uasin-Gishu,2025-02-13,40.0,Dry_White_Maize,2025-06,7
Uasin-Gishu,2025-02-13,37.78,Dry_White_Maize,2025-06,7
Kiambu,2025-02-13,41.11,Dry_White_Maize,2025-06,7
Kiambu,2025-02-13,41.11,Dry_White_Maize,2025-06,7
Uasin-Gishu,2025-02-13,37.78,Dry_White_Maize,2025-06,7
Uasin-Gishu,2025-02-14,40.0,Dry_White_Maize,2025-06,7
Uasin-Gishu,2025-02-14,37.78,Dry_White_Maize,2025-06,7
Uasin-Gishu,2025-02-18,40.0,Dry_White_Maize,2025-07,8
Uasin-Gishu,2025-02-18,37.31,Dry_White_Maize,2025-07,8
Uasin-Gishu,2025-02-19,40.0,Dry_White_Maize,2025-07,8
