population,site,original_planting_date,early_planting_date,late_planting_date,required_gdus,scenario_1_harvest_quantity,scenario_2_harvest_quanitity
p_106,1,1/21/2020,1/14/2020,2/18/2020,1120,303,462
p_107,1,1/21/2020,1/7/2020,3/10/2020,1120,274,584
p_108,1,1/21/2020,1/21/2020,3/3/2020,1120,166,245
p_109,1,1/21/2020,1/7/2020,3/3/2020,1219,292,486
p_110,1,1/21/2020,1/7/2020,2/25/2020,1120,266,96
p_111,1,1/21/2020,1/7/2020,2/25/2020,1120,160,550
p_112,1,1/21/2020,1/7/2020,2/11/2020,1120,269,359
p_113,0,1/22/2020,1/8/2020,2/12/2020,1054,144,330
p_114,0,1/22/2020,1/15/2020,2/26/2020,1054,348,349
p_115,0,1/22/2020,1/8/2020,2/12/2020,1141,275,90
p_116,0,1/22/2020,1/8/2020,3/4/2020,1054,172,308
p_117,0,1/22/2020,1/22/2020,2/19/2020,1141,292,105
p_118,0,1/22/2020,1/8/2020,3/4/2020,1054,182,342
p_119,0,1/22/2020,1/22/2020,2/26/2020,1054,318,135
p_120,0,1/22/2020,1/15/2020,3/11/2020,1054,161,352
p_121,0,1/22/2020,1/15/2020,3/11/2020,1054,121,637
p_122,0,1/22/2020,1/8/2020,2/26/2020,1141,247,389
p_123,0,1/22/2020,1/15/2020,3/4/2020,1054,328,101
p_124,0,1/22/2020,1/8/2020,2/12/2020,1054,265,487
p_125,0,1/22/2020,1/15/2020,2/12/2020,1054,126,368
p_126,0,1/22/2020,1/8/2020,3/11/2020,1054,227,329
p_127,0,1/22/2020,1/8/2020,2/26/2020,1141,265,285
p_128,0,1/22/2020,1/22/2020,2/26/2020,1054,179,620
p_129,0,1/22/2020,1/22/2020,2/19/2020,1054,420,107
p_130,0,1/22/2020,1/22/2020,3/11/2020,1054,260,233
p_131,0,1/22/2020,1/22/2020,2/26/2020,1054,136,552
p_132,0,1/22/2020,1/8/2020,2/19/2020,1054,254,262
p_133,0,1/22/2020,1/15/2020,2/12/2020,1141,255,308
p_134,0,1/22/2020,1/8/2020,3/11/2020,1141,372,664
p_135,0,1/22/2020,1/22/2020,3/11/2020,1141,300,186
p_136,0,1/22/2020,1/22/2020,2/26/2020,1141,366,485
p_137,0,1/22/2020,1/15/2020,2/26/2020,1141,101,460
p_138,0,1/22/2020,1/22/2020,3/4/2020,1141,333,218
p_139,0,1/22/2020,1/8/2020,2/12/2020,1141,299,288
p_140,0,1/22/2020,1/8/2020,2/12/2020,1141,258,280
p_141,0,1/22/2020,1/8/2020,2/19/2020,1141,387,653
p_142,0,1/22/2020,1/8/2020,2/19/2020,1141,325,317
p_143,0,1/22/2020,1/8/2020,3/4/2020,1054,349,209
p_144,0,1/22/2020,1/15/2020,2/12/2020,1054,124,238
p_145,0,1/22/2020,1/8/2020,2/19/2020,1141,409,259
p_146,0,1/29/2020,1/29/2020,2/19/2020,1035,107,403
p_147,0,1/29/2020,1/29/2020,2/19/2020,1124,270,306
p_148,0,1/29/2020,1/29/2020,2/26/2020,1035,248,407
p_149,0,1/29/2020,1/29/2020,3/4/2020,1124,386,280
p_150,0,1/29/2020,1/22/2020,3/4/2020,1035,189,285
p_151,0,1/29/2020,1/29/2020,2/26/2020,1035,203,107
p_152,0,1/29/2020,1/22/2020,3/11/2020,1124,73,377
p_153,0,1/29/2020,1/29/2020,3/18/2020,1035,141,93
p_154,0,1/29/2020,1/22/2020,2/19/2020,1035,356,412
p_155,0,1/29/2020,1/22/2020,3/18/2020,1035,137,335
p_156,0,1/29/2020,1/22/2020,2/26/2020,1124,370,127
p_157,0,1/29/2020,1/29/2020,2/19/2020,1124,220,73
p_158,0,1/29/2020,1/22/2020,3/18/2020,1124,312,347
p_159,0,1/29/2020,1/15/2020,3/4/2020,1207,109,245
p_160,0,1/29/2020,1/15/2020,3/11/2020,1124,231,280
p_161,0,1/29/2020,1/29/2020,3/18/2020,1207,232,356
p_162,0,1/29/2020,1/15/2020,3/11/2020,1207,159,313
p_163,0,1/29/2020,1/15/2020,3/4/2020,1124,188,253
p_164,0,1/29/2020,1/15/2020,3/18/2020,1124,320,552
p_165,0,1/29/2020,1/29/2020,2/26/2020,1207,321,387
p_166,0,1/29/2020,1/29/2020,2/19/2020,1207,491,224
p_167,0,1/29/2020,1/15/2020,3/4/2020,1207,244,71
p_168,0,1/29/2020,1/29/2020,3/11/2020,1207,417,459
p_169,0,1/29/2020,1/22/2020,3/11/2020,1207,113,297
p_170,0,1/29/2020,1/15/2020,3/4/2020,1207,354,476
p_171,0,1/29/2020,1/29/2020,2/26/2020,1124,168,408
p_172,0,1/29/2020,1/29/2020,2/26/2020,1207,195,374
p_173,0,1/29/2020,1/15/2020,3/11/2020,1207,479,361
p_174,0,1/29/2020,1/29/2020,3/4/2020,1207,191,405
p_175,0,1/29/2020,1/15/2020,3/4/2020,1207,339,514
p_176,0,1/29/2020,1/29/2020,2/19/2020,1207,357,322
p_177,0,1/29/2020,1/22/2020,3/11/2020,1207,259,332
p_178,0,1/29/2020,1/15/2020,2/26/2020,1207,410,223
p_179,0,1/29/2020,1/22/2020,3/18/2020,1124,183,306
p_180,0,1/29/2020,1/15/2020,2/26/2020,1124,236,262
p_181,0,1/29/2020,1/29/2020,2/26/2020,1207,196,311
p_182,0,1/29/2020,1/22/2020,3/18/2020,1287,212,409
p_183,0,1/29/2020,1/29/2020,3/11/2020,1207,234,283
p_184,0,1/29/2020,1/15/2020,2/19/2020,1287,291,408
p_185,0,1/29/2020,1/15/2020,2/26/2020,1287,323,85
p_186,0,1/29/2020,1/15/2020,2/26/2020,1287,237,164
p_187,0,1/29/2020,1/15/2020,3/11/2020,1287,229,428
p_188,0,1/29/2020,1/15/2020,3/11/2020,1287,297,648
p_189,0,1/29/2020,1/22/2020,3/4/2020,1287,265,571
p_190,0,1/29/2020,1/15/2020,3/11/2020,1287,115,274
p_191,0,1/29/2020,1/29/2020,3/11/2020,1207,358,268
p_192,0,1/29/2020,1/22/2020,2/26/2020,1287,225,493
p_193,0,1/29/2020,1/29/2020,2/19/2020,1287,222,157
p_194,0,1/29/2020,1/15/2020,2/26/2020,1287,321,450
p_195,0,1/29/2020,1/29/2020,3/11/2020,1207,423,302
p_196,0,1/29/2020,1/22/2020,3/4/2020,1207,283,306
p_197,0,2/5/2020,1/29/2020,2/26/2020,1179,323,541
p_198,0,2/5/2020,1/29/2020,3/11/2020,1179,174,308
p_199,0,2/5/2020,2/5/2020,3/25/2020,1015,362,437
p_200,0,2/5/2020,1/29/2020,3/11/2020,1099,152,780
p_201,0,2/5/2020,2/5/2020,3/11/2020,1099,348,142
p_202,0,2/5/2020,1/22/2020,3/18/2020,1099,490,452
p_203,0,2/5/2020,1/22/2020,3/18/2020,1179,223,425
p_204,0,2/5/2020,2/5/2020,3/18/2020,1099,433,192
p_205,0,2/5/2020,1/29/2020,3/18/2020,1099,115,226
p_206,0,2/5/2020,2/5/2020,3/18/2020,1099,258,196
p_207,0,2/5/2020,2/5/2020,3/11/2020,1179,164,349
p_208,0,2/5/2020,2/5/2020,3/25/2020,1254,239,782
p_209,0,2/5/2020,1/22/2020,3/18/2020,1179,262,61
p_210,0,2/5/2020,2/5/2020,3/25/2020,1179,385,472
p_211,0,2/5/2020,1/22/2020,3/25/2020,1179,381,704
p_212,0,2/5/2020,2/5/2020,3/4/2020,1179,319,510
p_213,0,2/5/2020,1/22/2020,3/4/2020,1179,193,169
p_214,0,2/5/2020,2/5/2020,2/26/2020,1179,155,353
p_215,0,2/5/2020,2/5/2020,3/4/2020,1179,218,481
p_216,0,2/5/2020,1/29/2020,3/18/2020,1179,174,456
p_217,0,2/12/2020,2/5/2020,4/1/2020,1144,227,313
p_218,0,2/12/2020,2/12/2020,3/4/2020,1144,292,313
p_219,0,2/12/2020,2/12/2020,3/11/2020,1144,146,422
p_220,0,2/12/2020,2/12/2020,3/18/2020,1144,388,556
p_221,0,2/12/2020,2/12/2020,3/4/2020,1069,282,389
p_222,0,2/12/2020,2/5/2020,3/25/2020,1069,331,166
p_223,0,2/12/2020,1/29/2020,4/1/2020,1069,110,297
p_224,0,2/12/2020,2/12/2020,3/25/2020,1069,342,491
p_225,0,2/12/2020,2/5/2020,3/25/2020,989,334,541
p_226,0,2/12/2020,2/12/2020,3/18/2020,989,222,290
p_227,0,2/12/2020,2/12/2020,3/18/2020,1220,113,421
p_228,0,2/12/2020,1/29/2020,4/1/2020,1220,114,420
p_229,0,2/12/2020,2/12/2020,3/11/2020,1220,406,439
p_230,0,2/12/2020,2/12/2020,3/25/2020,1220,268,424
p_231,0,2/12/2020,1/29/2020,3/11/2020,1290,319,66
p_232,0,2/12/2020,1/29/2020,4/1/2020,1220,183,353
p_233,0,2/12/2020,1/29/2020,3/25/2020,1220,229,324
p_234,0,2/12/2020,1/29/2020,3/11/2020,1220,177,469
p_235,0,2/12/2020,2/5/2020,3/25/2020,1220,423,536
p_236,0,2/12/2020,2/5/2020,3/18/2020,1290,257,234
p_237,0,2/12/2020,2/5/2020,3/18/2020,1290,354,485
p_238,0,2/12/2020,2/12/2020,3/4/2020,1290,361,455
p_239,0,2/12/2020,1/29/2020,4/1/2020,1290,190,469
p_240,0,2/12/2020,1/29/2020,3/11/2020,1290,271,442
p_241,0,2/12/2020,2/5/2020,3/25/2020,1290,259,526
p_242,0,2/12/2020,2/12/2020,3/4/2020,1220,140,307
p_243,0,2/12/2020,2/12/2020,4/1/2020,1290,381,389
p_244,0,2/12/2020,2/12/2020,4/1/2020,1290,297,527
p_245,0,2/12/2020,2/5/2020,4/1/2020,1220,407,492
p_246,0,2/12/2020,2/12/2020,3/11/2020,1290,374,118
p_247,0,2/12/2020,2/12/2020,3/18/2020,1290,322,417
p_248,0,2/12/2020,2/12/2020,3/4/2020,1220,343,648
p_249,0,2/12/2020,1/29/2020,3/11/2020,1220,185,284
p_250,0,2/12/2020,2/5/2020,3/25/2020,1220,322,162
p_251,0,2/12/2020,1/29/2020,3/11/2020,1220,157,218
p_252,0,2/12/2020,1/29/2020,3/25/2020,1290,307,403
p_253,0,2/12/2020,2/5/2020,3/25/2020,1290,346,452
p_254,0,2/12/2020,1/29/2020,4/1/2020,1220,165,251
p_255,0,2/12/2020,2/12/2020,3/11/2020,1220,241,302
p_256,0,2/12/2020,2/12/2020,3/18/2020,1220,154,316
p_257,0,2/12/2020,2/12/2020,3/25/2020,1144,385,384
p_258,0,2/12/2020,2/12/2020,4/1/2020,1220,405,354
p_259,0,2/12/2020,2/5/2020,3/18/2020,1290,67,199
p_260,0,2/12/2020,1/29/2020,3/11/2020,1220,98,272
p_261,0,2/12/2020,1/29/2020,3/18/2020,1220,344,124
p_262,0,2/12/2020,2/12/2020,3/11/2020,1220,176,404
p_263,0,2/12/2020,2/12/2020,3/25/2020,1220,314,534
p_264,0,2/12/2020,1/29/2020,3/4/2020,1220,327,269
p_265,0,2/12/2020,2/5/2020,3/4/2020,1220,90,316
p_266,0,2/12/2020,1/29/2020,3/25/2020,1220,279,432
p_267,0,2/12/2020,2/12/2020,3/18/2020,1220,284,561
p_268,0,2/12/2020,2/12/2020,3/11/2020,1144,248,533
p_269,0,2/12/2020,2/5/2020,3/4/2020,1220,194,597
p_270,0,2/12/2020,1/29/2020,3/11/2020,1220,174,570
p_271,0,2/12/2020,2/5/2020,3/25/2020,1220,223,318
p_272,0,2/12/2020,2/5/2020,3/18/2020,1220,202,293
p_273,0,2/12/2020,2/12/2020,3/11/2020,1290,135,573
p_274,0,2/12/2020,1/29/2020,3/18/2020,1290,363,344
p_275,0,2/12/2020,2/12/2020,3/4/2020,1069,194,433
p_276,0,2/12/2020,1/29/2020,3/11/2020,1069,379,682
p_277,0,2/12/2020,2/12/2020,4/1/2020,1069,344,417
p_278,0,2/12/2020,2/12/2020,3/4/2020,1069,259,341
p_279,0,2/12/2020,1/29/2020,3/18/2020,1069,274,493
p_280,0,2/12/2020,1/29/2020,3/25/2020,1144,356,390
p_281,0,2/12/2020,2/12/2020,4/1/2020,1144,270,572
p_282,0,2/12/2020,1/29/2020,3/11/2020,1069,277,336
p_283,0,2/12/2020,2/12/2020,3/4/2020,1069,238,494
p_284,0,2/12/2020,1/29/2020,3/11/2020,1069,296,369
p_285,0,2/12/2020,2/12/2020,3/11/2020,1144,481,386
p_286,0,2/12/2020,2/12/2020,4/1/2020,1144,230,152
p_287,0,2/12/2020,2/12/2020,4/1/2020,1069,389,704
p_288,0,2/12/2020,2/5/2020,4/1/2020,1144,314,368
p_289,0,2/12/2020,1/29/2020,4/1/2020,1069,343,284
p_290,0,2/12/2020,2/12/2020,3/25/2020,1069,72,395
p_291,0,2/12/2020,2/5/2020,3/18/2020,1069,313,489
p_292,0,2/12/2020,2/12/2020,4/1/2020,1144,300,235
p_293,0,2/12/2020,2/5/2020,3/4/2020,1144,245,444
p_294,0,2/12/2020,2/12/2020,3/11/2020,1144,160,237
p_295,0,2/12/2020,2/12/2020,4/1/2020,1144,262,290
p_296,0,2/12/2020,2/5/2020,3/4/2020,1144,129,567
p_297,0,2/12/2020,2/5/2020,3/25/2020,1144,214,265
p_298,0,2/12/2020,1/29/2020,3/4/2020,1144,67,359
p_299,0,2/12/2020,1/29/2020,3/4/2020,1144,254,232
p_300,0,2/12/2020,2/5/2020,3/25/2020,1144,222,319
p_301,0,2/12/2020,1/29/2020,3/25/2020,1144,171,609
p_302,0,2/12/2020,2/5/2020,3/11/2020,1220,282,464
p_303,0,2/12/2020,1/29/2020,4/1/2020,1220,89,568
p_304,0,2/12/2020,2/12/2020,3/4/2020,1220,134,391
p_305,0,2/19/2020,2/5/2020,3/25/2020,1181,181,417
p_306,0,2/19/2020,2/19/2020,3/25/2020,1181,269,466
p_307,0,2/19/2020,2/19/2020,3/18/2020,1248,261,390
p_308,0,2/19/2020,2/5/2020,3/25/2020,1181,228,220
p_309,0,2/19/2020,2/12/2020,3/18/2020,1181,264,198
p_310,0,2/19/2020,2/19/2020,4/8/2020,1181,195,285
p_311,0,2/19/2020,2/19/2020,3/18/2020,1181,225,283
p_312,0,2/19/2020,2/5/2020,4/1/2020,1181,267,189
p_313,0,2/19/2020,2/12/2020,4/1/2020,1248,231,241
p_314,0,2/19/2020,2/12/2020,4/1/2020,1181,192,307
p_315,0,2/19/2020,2/5/2020,4/1/2020,1181,251,198
p_316,0,2/19/2020,2/12/2020,4/1/2020,1181,234,237
p_317,0,2/19/2020,2/5/2020,4/1/2020,1181,199,574
p_318,0,2/19/2020,2/5/2020,4/1/2020,1181,385,196
p_319,0,2/19/2020,2/5/2020,4/1/2020,1181,212,399
p_320,0,2/19/2020,2/19/2020,4/1/2020,1181,221,317
p_321,0,2/19/2020,2/19/2020,4/8/2020,1036,246,93
p_322,0,2/19/2020,2/19/2020,4/1/2020,1181,418,261
p_323,0,2/19/2020,2/5/2020,3/18/2020,1181,275,323
p_324,0,2/19/2020,2/19/2020,4/8/2020,1112,435,524
p_325,0,2/19/2020,2/19/2020,3/25/2020,1112,323,110
p_326,0,2/19/2020,2/19/2020,3/11/2020,1112,200,397
p_327,0,2/19/2020,2/5/2020,4/8/2020,1181,300,572
p_328,0,2/19/2020,2/5/2020,4/1/2020,1181,218,262
p_329,0,2/19/2020,2/5/2020,4/8/2020,1112,171,338
p_330,0,2/19/2020,2/19/2020,3/11/2020,1112,352,358
p_331,0,2/19/2020,2/12/2020,3/11/2020,1181,196,254
p_332,0,2/19/2020,2/19/2020,4/1/2020,1112,158,246
p_333,0,2/19/2020,2/19/2020,4/1/2020,1112,213,301
p_334,0,2/19/2020,2/5/2020,3/18/2020,1181,219,284
p_335,0,2/19/2020,2/5/2020,3/11/2020,1181,238,328
p_336,0,2/5/2020,2/5/2020,3/18/2020,1099,279,271
p_337,0,2/5/2020,2/5/2020,2/26/2020,1099,326,482
p_338,0,2/5/2020,1/29/2020,3/4/2020,1099,259,235
p_339,0,2/5/2020,1/29/2020,3/11/2020,1179,409,203
p_340,0,2/5/2020,1/22/2020,2/26/2020,1015,140,419
p_341,0,2/5/2020,1/29/2020,3/4/2020,1099,135,381
p_342,0,2/5/2020,1/29/2020,3/4/2020,1099,69,339
p_343,0,2/5/2020,1/22/2020,3/4/2020,1099,268,483
p_344,0,2/5/2020,1/29/2020,3/25/2020,1179,266,59
p_345,0,2/5/2020,2/5/2020,3/18/2020,1179,196,494
p_346,0,2/12/2020,2/5/2020,3/4/2020,1144,209,321
p_347,0,2/12/2020,1/29/2020,4/1/2020,1144,482,301
p_348,0,2/12/2020,2/12/2020,3/4/2020,1069,189,439
p_349,0,2/12/2020,2/5/2020,4/1/2020,1144,120,320
p_350,1,2/4/2020,2/4/2020,3/17/2020,967,281,635
p_351,1,2/4/2020,2/4/2020,3/3/2020,1066,221,468
p_352,1,2/4/2020,1/28/2020,2/25/2020,967,74,228
p_353,1,2/4/2020,1/28/2020,3/3/2020,1066,414,312
p_354,1,2/4/2020,1/21/2020,3/17/2020,1066,386,506
p_355,1,2/4/2020,1/21/2020,2/25/2020,967,182,344
p_356,1,2/4/2020,2/4/2020,3/10/2020,1066,282,535
p_357,1,2/4/2020,1/21/2020,3/10/2020,967,275,283
p_358,1,2/4/2020,2/4/2020,3/10/2020,1066,378,367
p_359,1,2/4/2020,2/4/2020,3/17/2020,1066,85,299
p_360,1,2/4/2020,1/21/2020,3/10/2020,1066,245,442
p_361,1,2/4/2020,1/21/2020,2/25/2020,1066,150,348
p_362,1,2/4/2020,1/21/2020,3/10/2020,1066,299,215
p_363,1,2/4/2020,1/28/2020,2/25/2020,1164,349,573
p_364,1,2/11/2020,2/11/2020,3/24/2020,1084,385,115
p_365,1,2/11/2020,2/11/2020,3/10/2020,1084,146,382
p_366,1,2/11/2020,2/11/2020,3/31/2020,1084,251,209
p_367,1,2/11/2020,1/28/2020,3/17/2020,1084,209,447
p_368,1,2/11/2020,1/28/2020,3/31/2020,987,87,84
p_369,1,2/11/2020,1/28/2020,3/10/2020,1084,269,428
p_370,1,2/11/2020,1/28/2020,3/24/2020,1084,368,363
p_371,1,2/11/2020,1/28/2020,3/24/2020,987,322,365
p_372,1,2/11/2020,2/4/2020,3/10/2020,1084,287,590
p_373,1,2/11/2020,1/28/2020,3/31/2020,1084,308,380
p_374,1,2/11/2020,2/11/2020,3/17/2020,1084,277,580
p_375,1,2/11/2020,1/28/2020,3/3/2020,1084,521,286
p_376,1,2/11/2020,2/11/2020,3/24/2020,1084,265,482
p_377,1,2/11/2020,1/28/2020,3/10/2020,1084,270,426
p_378,1,2/11/2020,1/28/2020,3/31/2020,987,311,489
p_379,1,2/11/2020,2/11/2020,3/17/2020,888,276,364
p_380,1,2/11/2020,2/11/2020,3/31/2020,987,396,228
p_381,1,2/25/2020,2/25/2020,3/31/2020,1016,253,485
p_382,1,2/25/2020,2/25/2020,3/17/2020,1113,220,487
p_383,1,2/25/2020,2/18/2020,3/17/2020,1113,81,254
p_384,1,2/25/2020,2/25/2020,3/24/2020,1113,382,361
p_385,1,2/25/2020,2/11/2020,3/24/2020,1113,173,287
p_386,1,2/25/2020,2/11/2020,3/31/2020,1016,207,484
p_387,1,2/25/2020,2/18/2020,3/31/2020,1113,347,469
p_388,1,2/25/2020,2/25/2020,3/31/2020,1113,211,415
p_389,1,2/25/2020,2/11/2020,3/31/2020,1113,185,638
p_390,1,2/25/2020,2/18/2020,3/17/2020,1113,325,293
p_391,1,2/25/2020,2/11/2020,3/24/2020,1016,311,269
p_392,1,2/25/2020,2/18/2020,3/24/2020,1113,227,301
p_393,1,2/25/2020,2/18/2020,4/7/2020,1113,299,204
p_394,1,2/25/2020,2/25/2020,3/24/2020,1113,294,293
p_395,1,2/25/2020,2/18/2020,3/24/2020,1113,186,182
p_396,1,2/25/2020,2/11/2020,4/14/2020,1113,267,344
p_397,1,2/25/2020,2/11/2020,4/14/2020,1113,231,471
p_398,1,2/25/2020,2/25/2020,4/7/2020,1209,421,116
p_399,1,2/25/2020,2/25/2020,3/31/2020,1113,262,760
p_400,1,2/25/2020,2/18/2020,4/7/2020,1113,259,622
p_401,1,2/25/2020,2/25/2020,4/7/2020,1113,207,259
p_402,1,2/25/2020,2/11/2020,3/17/2020,1113,181,265
p_403,1,2/25/2020,2/11/2020,3/24/2020,1113,344,366
p_404,1,2/25/2020,2/25/2020,3/17/2020,1113,220,425
p_405,1,2/25/2020,2/25/2020,3/24/2020,1209,257,297
p_406,0,2/26/2020,2/26/2020,4/8/2020,1140,206,457
p_407,0,2/26/2020,2/19/2020,3/25/2020,1140,251,358
p_408,0,2/26/2020,2/19/2020,4/1/2020,1202,302,252
