Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Count
Canada,Detailed Language characteristics,Mi'kmaq,,,,,,8750
Canada,Detailed Language characteristics,Mohawk,,,,,,615
Canada,Detailed Language characteristics,Montagnais-Naskapi,,,,,,11815
Canada,Detailed Language characteristics,Nisga'a,,,,,,1090
Canada,Detailed Language characteristics,North Slave (Hare),,,,,,1235
Canada,Detailed Language characteristics,Ojibway,,,,,,32460
Canada,Detailed Language characteristics,Oji-Cree,,,,,,12605
Canada,Detailed Language characteristics,Shuswap,,,,,,1650
Canada,Detailed Language characteristics,South Slave,,,,,,2315
Canada,Detailed Language characteristics,Tlingit,,,,,,175
Canada,Detailed Language characteristics,Italian,,,,,,660940
Canada,Detailed Language characteristics,Portuguese,,,,,,274670
Canada,Detailed Language characteristics,Romanian,,,,,,89175
Canada,Detailed Language characteristics,Spanish,,,,,,758285
Canada,Detailed Language characteristics,Danish,,,,,,21930
Canada,Detailed Language characteristics,Dutch,,,,,,152735
Canada,Detailed Language characteristics,Flemish,,,,,,6710
Canada,Detailed Language characteristics,Frisian,,,,,,3275
Canada,Detailed Language characteristics,German,,,,,,622650
Canada,Detailed Language characteristics,Norwegian,,,,,,10585
Canada,Detailed Language characteristics,Swedish,,,,,,14960
Canada,Detailed Language characteristics,Yiddish,,,,,,27605
Canada,Detailed Language characteristics,Bosnian,,,,,,15165
Canada,Detailed Language characteristics,Bulgarian,,,,,,18575
Canada,Detailed Language characteristics,Croatian,,,,,,72685
Canada,Detailed Language characteristics,Czech,,,,,,29735
Canada,Detailed Language characteristics,Macedonian,,,,,,24815
Canada,Detailed Language characteristics,Polish,,,,,,242885
Canada,Detailed Language characteristics,Russian,,,,,,191515
Canada,Detailed Language characteristics,Serbian,,,,,,62780
Canada,Detailed Language characteristics,Serbo-Croatian,,,,,,14470
Canada,Detailed Language characteristics,Slovak,,,,,,21735
Canada,Detailed Language characteristics,Slovenian,,,,,,15030
Canada,Detailed Language characteristics,Ukrainian,,,,,,174160
Canada,Detailed Language characteristics,Latvian,,,,,,8030
Canada,Detailed Language characteristics,Lithuanian,,,,,,9320
Canada,Detailed Language characteristics,Estonian,,,,,,8860
Canada,Detailed Language characteristics,Finnish,,,,,,23380
Canada,Detailed Language characteristics,Hungarian,,,,,,84275
Canada,Detailed Language characteristics,Greek,,,,,,157385
Canada,Detailed Language characteristics,Armenian,,,,,,35260
Canada,Detailed Language characteristics,Turkish,,,,,,36935
Canada,Detailed Language characteristics,Amharic,,,,,,19885
Canada,Detailed Language characteristics,Arabic,,,,,,365085
