responseId,view_label,ID_enter,ID_exit,videos,video_time,datetimestamp_start,datetimestamp_end,date,signaling,congestion_enter_rating,congestion_exit_rating,time_segment_id,cycle_phase
GYsHaeOvC6-vnvgPjoXZqA0,Norman Niles #1,time_segment_122_Norman Niles #1_congestion_enter_rating,time_segment_122_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-08-02-45.mp4,2025-10-20 08:02:45,2025-10-20 08:02:45,2025-10-20 08:03:44,2025-10-20,none,free flowing,free flowing,122,test_input_15
KYsHaZ_DFK-vnvgPjoXZqA0,Norman Niles #1,time_segment_123_Norman Niles #1_congestion_enter_rating,time_segment_123_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-08-03-45.mp4,2025-10-20 08:03:45,2025-10-20 08:03:45,2025-10-20 08:04:44,2025-10-20,none,free flowing,free flowing,123,test_input_15
6okHaZqREJ__698PweWaiQ4,Norman Niles #1,time_segment_124_Norman Niles #1_congestion_enter_rating,time_segment_124_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-08-04-45.mp4,2025-10-20 08:04:45,2025-10-20 08:04:45,2025-10-20 08:04:59,2025-10-20,none,free flowing,free flowing,124,test_input_15
GosHac3eGrmfnvgPoaTSqQ0,Norman Niles #1,time_segment_125_Norman Niles #1_congestion_enter_rating,time_segment_125_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-08-05-45.mp4,2025-10-20 08:05:45,2025-10-20 08:05:45,2025-10-20 08:06:44,2025-10-20,none,free flowing,free flowing,125,test_input_15
74kHaZiXHtiD2PgPyKaayQw,Norman Niles #1,time_segment_126_Norman Niles #1_congestion_enter_rating,time_segment_126_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-08-06-45.mp4,2025-10-20 08:06:45,2025-10-20 08:06:45,2025-10-20 08:07:44,2025-10-20,none,free flowing,free flowing,126,test_input_15
IYsHaZnjE4rQnvgPpPTHwA4,Norman Niles #1,time_segment_181_Norman Niles #1_congestion_enter_rating,time_segment_181_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-09-01-45.mp4,2025-10-20 09:01:45,2025-10-20 09:01:45,2025-10-20 09:02:45,2025-10-20,none,free flowing,free flowing,181,test_input_15
DY0Hac-dKbXOnvgP3YW5kQs,Norman Niles #1,time_segment_182_Norman Niles #1_congestion_enter_rating,time_segment_182_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-09-02-45.mp4,2025-10-20 09:02:45,2025-10-20 09:02:44,2025-10-20 09:03:59,2025-10-20,low,free flowing,free flowing,182,test_input_15
AYoHaezsL8eTmecPu8rsgQE,Norman Niles #1,time_segment_183_Norman Niles #1_congestion_enter_rating,time_segment_183_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-09-03-45.mp4,2025-10-20 09:03:45,2025-10-20 09:03:45,2025-10-20 09:04:44,2025-10-20,none,free flowing,free flowing,183,test_input_15
_IwHaa37AbmfnvgPoaTSqQ0,Norman Niles #1,time_segment_184_Norman Niles #1_congestion_enter_rating,time_segment_184_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-09-04-45.mp4,2025-10-20 09:04:45,2025-10-20 09:04:45,2025-10-20 09:05:45,2025-10-20,none,free flowing,free flowing,184,test_input_15
6IkHae_PFOaQ2PgPqvKU8As,Norman Niles #1,time_segment_185_Norman Niles #1_congestion_enter_rating,time_segment_185_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-09-05-45.mp4,2025-10-20 09:05:45,2025-10-20 09:05:45,2025-10-20 09:06:44,2025-10-20,none,free flowing,free flowing,185,test_input_15
HI0Hac2yOaHXnvgP76fxyQI,Norman Niles #1,time_segment_186_Norman Niles #1_congestion_enter_rating,time_segment_186_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-09-06-45.mp4,2025-10-20 09:06:45,2025-10-20 09:06:45,2025-10-20 09:07:44,2025-10-20,none,free flowing,free flowing,186,test_input_15
1IkHad6MDsjtnvgP8NiHuAw,Norman Niles #1,time_segment_187_Norman Niles #1_congestion_enter_rating,time_segment_187_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-09-07-45.mp4,2025-10-20 09:07:45,2025-10-20 09:07:45,2025-10-20 09:08:44,2025-10-20,none,free flowing,free flowing,187,test_input_15
0okHacCTGNiD2PgPyKaayQw,Norman Niles #1,time_segment_188_Norman Niles #1_congestion_enter_rating,time_segment_188_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-09-08-45.mp4,2025-10-20 09:08:45,2025-10-20 09:08:45,2025-10-20 09:09:44,2025-10-20,none,free flowing,free flowing,188,test_input_15
D4sHadfABeaQ2PgPqvKU8As,Norman Niles #1,time_segment_189_Norman Niles #1_congestion_enter_rating,time_segment_189_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-09-09-45.mp4,2025-10-20 09:09:45,2025-10-20 09:09:45,2025-10-20 09:09:59,2025-10-20,none,free flowing,free flowing,189,test_input_15
0okHaYbtCqOdmecPmP768Ag,Norman Niles #1,time_segment_190_Norman Niles #1_congestion_enter_rating,time_segment_190_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-09-10-45.mp4,2025-10-20 09:10:45,2025-10-20 09:10:45,2025-10-20 09:11:44,2025-10-20,none,free flowing,free flowing,190,test_input_15
BYoHafWwIq-vnvgPjoXZqA0,Norman Niles #1,time_segment_191_Norman Niles #1_congestion_enter_rating,time_segment_191_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-09-11-45.mp4,2025-10-20 09:11:45,2025-10-20 09:11:45,2025-10-20 09:12:44,2025-10-20,none,free flowing,free flowing,191,test_input_15
_osHabKBHbXOnvgP3YW5kQs,Norman Niles #1,time_segment_192_Norman Niles #1_congestion_enter_rating,time_segment_192_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-09-12-45.mp4,2025-10-20 09:12:45,2025-10-20 09:12:45,2025-10-20 09:13:44,2025-10-20,none,free flowing,free flowing,192,test_input_15
zYkHafe2H9iD2PgPyKaayQw,Norman Niles #1,time_segment_193_Norman Niles #1_congestion_enter_rating,time_segment_193_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-09-13-45.mp4,2025-10-20 09:13:45,2025-10-20 09:13:45,2025-10-20 09:14:45,2025-10-20,none,free flowing,free flowing,193,test_input_15
-IwHacC9J7Ov3NoPq7G46QE,Norman Niles #1,time_segment_194_Norman Niles #1_congestion_enter_rating,time_segment_194_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-09-14-45.mp4,2025-10-20 09:14:45,2025-10-20 09:14:45,2025-10-20 09:15:00,2025-10-20,none,free flowing,free flowing,194,test_input_15
A4oHaYatI9iD2PgPyKaayQw,Norman Niles #1,time_segment_195_Norman Niles #1_congestion_enter_rating,time_segment_195_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-09-15-45.mp4,2025-10-20 09:15:45,2025-10-20 09:15:45,2025-10-20 09:16:44,2025-10-20,none,free flowing,free flowing,195,test_input_15
04kHaaXYOIrQnvgPpPTHwA4,Norman Niles #1,time_segment_275_Norman Niles #1_congestion_enter_rating,time_segment_275_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-10-36-45.mp4,2025-10-20 10:36:45,2025-10-20 10:36:45,2025-10-20 10:37:44,2025-10-20,medium,moderate delay,free flowing,275,test_input_15
24wHaYLNILOv3NoPq7G46QE,Norman Niles #1,time_segment_276_Norman Niles #1_congestion_enter_rating,time_segment_276_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-10-37-45.mp4,2025-10-20 10:37:45,2025-10-20 10:37:45,2025-10-20 10:38:44,2025-10-20,high,free flowing,free flowing,276,test_input_15
JI0HacXJIOK2nvgPsZGZ4Aw,Norman Niles #1,time_segment_277_Norman Niles #1_congestion_enter_rating,time_segment_277_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-10-38-45.mp4,2025-10-20 10:38:45,2025-10-20 10:38:45,2025-10-20 10:39:44,2025-10-20,low,free flowing,free flowing,277,test_input_15
A40HacLNJa-vnvgPjoXZqA0,Norman Niles #1,time_segment_278_Norman Niles #1_congestion_enter_rating,time_segment_278_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-10-39-45.mp4,2025-10-20 10:39:45,2025-10-20 10:39:45,2025-10-20 10:40:44,2025-10-20,low,heavy delay,free flowing,278,test_input_15
0YkHadGQJ7zA698P_KuO8AM,Norman Niles #1,time_segment_279_Norman Niles #1_congestion_enter_rating,time_segment_279_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-10-40-45.mp4,2025-10-20 10:40:45,2025-10-20 10:40:45,2025-10-20 10:41:44,2025-10-20,low,heavy delay,free flowing,279,test_input_15
dIsHafKoJ7XOnvgP3YW5kQs,Norman Niles #1,time_segment_280_Norman Niles #1_congestion_enter_rating,time_segment_280_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-10-41-45.mp4,2025-10-20 10:41:45,2025-10-20 10:41:45,2025-10-20 10:42:44,2025-10-20,low,free flowing,free flowing,280,test_input_15
EYsHafiCBLzA698P_KuO8AM,Norman Niles #1,time_segment_281_Norman Niles #1_congestion_enter_rating,time_segment_281_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-10-42-45.mp4,2025-10-20 10:42:45,2025-10-20 10:42:45,2025-10-20 10:43:44,2025-10-20,low,light delay,free flowing,281,test_input_15
7YoHabWpL5KdmecPt_3RiQ4,Norman Niles #1,time_segment_282_Norman Niles #1_congestion_enter_rating,time_segment_282_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-10-43-45.mp4,2025-10-20 10:43:45,2025-10-20 10:43:45,2025-10-20 10:44:45,2025-10-20,low,heavy delay,moderate delay,282,test_input_15
SIsHadbcOaCVmecP_oCp4QE,Norman Niles #1,time_segment_283_Norman Niles #1_congestion_enter_rating,time_segment_283_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-10-45-45.mp4,2025-10-20 10:45:45,2025-10-20 10:45:45,2025-10-20 10:46:44,2025-10-20,low,heavy delay,free flowing,283,test_input_15
BYoHaer7BtCT3NoP8rPIoA0,Norman Niles #1,time_segment_284_Norman Niles #1_congestion_enter_rating,time_segment_284_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-10-46-45.mp4,2025-10-20 10:46:45,2025-10-20 10:46:45,2025-10-20 10:47:44,2025-10-20,low,heavy delay,free flowing,284,test_input_15
A40Hafa6IaHXnvgP76fxyQI,Norman Niles #1,time_segment_285_Norman Niles #1_congestion_enter_rating,time_segment_285_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-10-47-45.mp4,2025-10-20 10:47:45,2025-10-20 10:47:45,2025-10-20 10:48:44,2025-10-20,low,moderate delay,free flowing,285,test_input_15
IYsHad61A6qpmecP5vCV0AQ,Norman Niles #1,time_segment_286_Norman Niles #1_congestion_enter_rating,time_segment_286_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-10-48-45.mp4,2025-10-20 10:48:45,2025-10-20 10:48:45,2025-10-20 10:49:44,2025-10-20,low,heavy delay,free flowing,286,test_input_15
IIsHaYaTOorQnvgPpPTHwA4,Norman Niles #1,time_segment_287_Norman Niles #1_congestion_enter_rating,time_segment_287_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-10-49-45.mp4,2025-10-20 10:49:45,2025-10-20 10:49:45,2025-10-20 10:50:44,2025-10-20,none,heavy delay,free flowing,287,test_input_15
DosHaaHtObXOnvgP3YW5kQs,Norman Niles #1,time_segment_288_Norman Niles #1_congestion_enter_rating,time_segment_288_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-10-50-45.mp4,2025-10-20 10:50:45,2025-10-20 10:50:45,2025-10-20 10:51:44,2025-10-20,low,heavy delay,free flowing,288,test_input_15
2YwHaYu9EuK2nvgPsZGZ4Aw,Norman Niles #1,time_segment_289_Norman Niles #1_congestion_enter_rating,time_segment_289_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-10-51-45.mp4,2025-10-20 10:51:45,2025-10-20 10:51:45,2025-10-20 10:52:45,2025-10-20,low,light delay,free flowing,289,test_input_15
HI0Had2PMorQnvgPpPTHwA4,Norman Niles #1,time_segment_344_Norman Niles #1_congestion_enter_rating,time_segment_344_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-11-47-45.mp4,2025-10-20 11:47:45,2025-10-20 11:47:45,2025-10-20 11:48:45,2025-10-20,low,heavy delay,free flowing,344,test_input_15
7IkHad_1GKHXnvgP76fxyQI,Norman Niles #1,time_segment_345_Norman Niles #1_congestion_enter_rating,time_segment_345_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-11-48-45.mp4,2025-10-20 11:48:45,2025-10-20 11:48:45,2025-10-20 11:49:44,2025-10-20,medium,moderate delay,free flowing,345,test_input_15
3YwHaeuwA9m7nvgPq8e12AU,Norman Niles #1,time_segment_346_Norman Niles #1_congestion_enter_rating,time_segment_346_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-11-49-45.mp4,2025-10-20 11:49:45,2025-10-20 11:49:44,2025-10-20 11:50:00,2025-10-20,low,light delay,free flowing,346,test_input_15
0YkHaeLeOuK2nvgPsZGZ4Aw,Norman Niles #1,time_segment_347_Norman Niles #1_congestion_enter_rating,time_segment_347_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-11-50-45.mp4,2025-10-20 11:50:45,2025-10-20 11:50:44,2025-10-20 11:51:00,2025-10-20,low,heavy delay,free flowing,347,test_input_15
0YkHaZPzKNP_ld8Piv3HsQo,Norman Niles #1,time_segment_348_Norman Niles #1_congestion_enter_rating,time_segment_348_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-11-51-45.mp4,2025-10-20 11:51:45,2025-10-20 11:51:45,2025-10-20 11:52:59,2025-10-20,medium,heavy delay,moderate delay,348,test_input_15
24wHabvrKqHXnvgP76fxyQI,Norman Niles #1,time_segment_349_Norman Niles #1_congestion_enter_rating,time_segment_349_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-11-52-45.mp4,2025-10-20 11:52:45,2025-10-20 11:52:45,2025-10-20 11:53:59,2025-10-20,low,moderate delay,free flowing,349,test_input_15
PYoHacncKaHXnvgP76fxyQI,Norman Niles #1,time_segment_350_Norman Niles #1_congestion_enter_rating,time_segment_350_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-11-53-45.mp4,2025-10-20 11:53:45,2025-10-20 11:53:45,2025-10-20 11:54:45,2025-10-20,medium,light delay,free flowing,350,test_input_15
EYwHaYG5CeK2nvgPsZGZ4Aw,Norman Niles #1,time_segment_351_Norman Niles #1_congestion_enter_rating,time_segment_351_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-11-54-45.mp4,2025-10-20 11:54:45,2025-10-20 11:54:44,2025-10-20 11:55:59,2025-10-20,none,free flowing,free flowing,351,test_input_15
04kHacLUMLHZnvgPgt-ZqQs,Norman Niles #1,time_segment_352_Norman Niles #1_congestion_enter_rating,time_segment_352_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-11-55-45.mp4,2025-10-20 11:55:45,2025-10-20 11:55:44,2025-10-20 11:56:00,2025-10-20,low,free flowing,free flowing,352,test_input_15
7YkHadTpE7mfnvgPoaTSqQ0,Norman Niles #1,time_segment_353_Norman Niles #1_congestion_enter_rating,time_segment_353_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-11-56-45.mp4,2025-10-20 11:56:45,2025-10-20 11:56:44,2025-10-20 11:57:44,2025-10-20,none,free flowing,free flowing,353,test_input_15
A4oHaY3UHf_rld8Pu42kgAM,Norman Niles #1,time_segment_354_Norman Niles #1_congestion_enter_rating,time_segment_354_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-11-57-45.mp4,2025-10-20 11:57:45,2025-10-20 11:57:44,2025-10-20 11:58:44,2025-10-20,medium,free flowing,free flowing,354,test_input_15
IYsHadq3AdmqmecPxebXqQE,Norman Niles #1,time_segment_355_Norman Niles #1_congestion_enter_rating,time_segment_355_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-11-58-45.mp4,2025-10-20 11:58:45,2025-10-20 11:58:46,2025-10-20 11:59:59,2025-10-20,none,heavy delay,free flowing,355,test_input_15
cIsHaeWcMtP_ld8Piv3HsQo,Norman Niles #1,time_segment_356_Norman Niles #1_congestion_enter_rating,time_segment_356_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-11-59-45.mp4,2025-10-20 11:59:45,2025-10-20 11:59:44,2025-10-20 12:00:59,2025-10-20,low,free flowing,free flowing,356,test_input_15
0okHad7PJOK2nvgPsZGZ4Aw,Norman Niles #1,time_segment_357_Norman Niles #1_congestion_enter_rating,time_segment_357_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-12-00-45.mp4,2025-10-20 12:00:45,2025-10-20 12:00:44,2025-10-20 12:01:00,2025-10-20,low,heavy delay,free flowing,357,test_input_15
0okHacrFDbmfnvgPoaTSqQ0,Norman Niles #1,time_segment_358_Norman Niles #1_congestion_enter_rating,time_segment_358_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-12-01-45.mp4,2025-10-20 12:01:45,2025-10-20 12:01:44,2025-10-20 12:02:43,2025-10-20,medium,moderate delay,free flowing,358,test_input_15
IYsHaeiABZSgmecP8YHv4Qc,Norman Niles #1,time_segment_449_Norman Niles #1_congestion_enter_rating,time_segment_449_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-13-33-45.mp4,2025-10-20 13:33:45,2025-10-20 13:33:44,2025-10-20 13:34:43,2025-10-20,medium,light delay,free flowing,449,test_input_15
BIoHaajQKqHXnvgP76fxyQI,Norman Niles #1,time_segment_450_Norman Niles #1_congestion_enter_rating,time_segment_450_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-13-34-45.mp4,2025-10-20 13:34:45,2025-10-20 13:34:44,2025-10-20 13:35:44,2025-10-20,medium,moderate delay,free flowing,450,test_input_15
dIsHaciuJdmqmecPxebXqQE,Norman Niles #1,time_segment_451_Norman Niles #1_congestion_enter_rating,time_segment_451_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-13-35-45.mp4,2025-10-20 13:35:45,2025-10-20 13:35:44,2025-10-20 13:36:43,2025-10-20,medium,free flowing,free flowing,451,test_input_15
GYsHaf7AFL-envgP6uGTmAE,Norman Niles #1,time_segment_452_Norman Niles #1_congestion_enter_rating,time_segment_452_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-13-36-45.mp4,2025-10-20 13:36:45,2025-10-20 13:36:44,2025-10-20 13:37:43,2025-10-20,none,light delay,free flowing,452,test_input_15
zIkHacrxLrzA698P_KuO8AM,Norman Niles #1,time_segment_453_Norman Niles #1_congestion_enter_rating,time_segment_453_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-13-37-45.mp4,2025-10-20 13:37:45,2025-10-20 13:37:44,2025-10-20 13:38:44,2025-10-20,none,free flowing,free flowing,453,test_input_15
JI0HabzUNuK2nvgPsZGZ4Aw,Norman Niles #1,time_segment_454_Norman Niles #1_congestion_enter_rating,time_segment_454_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-13-38-45.mp4,2025-10-20 13:38:45,2025-10-20 13:38:44,2025-10-20 13:39:44,2025-10-20,low,free flowing,free flowing,454,test_input_15
7okHaa21LP-bmecPrLfvyA4,Norman Niles #1,time_segment_455_Norman Niles #1_congestion_enter_rating,time_segment_455_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-13-39-45.mp4,2025-10-20 13:39:45,2025-10-20 13:39:44,2025-10-20 13:40:44,2025-10-20,high,free flowing,free flowing,455,test_input_15
EIsHaaXOL4rQnvgPpPTHwA4,Norman Niles #1,time_segment_456_Norman Niles #1_congestion_enter_rating,time_segment_456_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-13-40-45.mp4,2025-10-20 13:40:45,2025-10-20 13:40:44,2025-10-20 13:41:43,2025-10-20,low,free flowing,free flowing,456,test_input_15
DY0Haf_KGb-envgP6uGTmAE,Norman Niles #1,time_segment_457_Norman Niles #1_congestion_enter_rating,time_segment_457_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-13-41-45.mp4,2025-10-20 13:41:45,2025-10-20 13:41:44,2025-10-20 13:42:43,2025-10-20,low,moderate delay,free flowing,457,test_input_15
6IwHad65I7mfnvgPoaTSqQ0,Norman Niles #1,time_segment_458_Norman Niles #1_congestion_enter_rating,time_segment_458_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-13-42-45.mp4,2025-10-20 13:42:45,2025-10-20 13:42:44,2025-10-20 13:43:00,2025-10-20,low,free flowing,free flowing,458,test_input_15
S4sHaYmWILmfnvgPoaTSqQ0,Norman Niles #1,time_segment_459_Norman Niles #1_congestion_enter_rating,time_segment_459_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-13-43-45.mp4,2025-10-20 13:43:45,2025-10-20 13:43:44,2025-10-20 13:44:45,2025-10-20,medium,free flowing,free flowing,459,test_input_15
0okHae4on__r3w_B5ZqJDg,Norman Niles #1,time_segment_460_Norman Niles #1_congestion_enter_rating,time_segment_460_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-13-44-45.mp4,2025-10-20 13:44:45,2025-10-20 13:44:44,2025-10-20 13:45:43,2025-10-20,low,free flowing,free flowing,460,test_input_15
8IwHacLALNCT3NoP8rPIoA0,Norman Niles #1,time_segment_461_Norman Niles #1_congestion_enter_rating,time_segment_461_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-13-45-45.mp4,2025-10-20 13:45:45,2025-10-20 13:45:44,2025-10-20 13:46:45,2025-10-20,none,free flowing,free flowing,461,test_input_15
B4oHaf3MINm7nvgPq8e12AU,Norman Niles #1,time_segment_462_Norman Niles #1_congestion_enter_rating,time_segment_462_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-13-46-45.mp4,2025-10-20 13:46:45,2025-10-20 13:46:44,2025-10-20 13:47:44,2025-10-20,low,light delay,free flowing,462,test_input_15
FYwHaYvoENCT3NoP8rPIoA0,Norman Niles #1,time_segment_463_Norman Niles #1_congestion_enter_rating,time_segment_463_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-13-47-45.mp4,2025-10-20 13:47:45,2025-10-20 13:47:44,2025-10-20 13:48:43,2025-10-20,medium,heavy delay,free flowing,463,test_input_15
24wHadi8JtiNmecPivmHgQ0,Norman Niles #1,time_segment_518_Norman Niles #1_congestion_enter_rating,time_segment_518_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-14-42-45.mp4,2025-10-20 14:42:45,2025-10-20 14:42:44,2025-10-20 14:43:44,2025-10-20,medium,moderate delay,free flowing,518,test_input_15
0YkHabaWPNCT3NoP8rPIoA0,Norman Niles #1,time_segment_519_Norman Niles #1_congestion_enter_rating,time_segment_519_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-14-43-45.mp4,2025-10-20 14:43:45,2025-10-20 14:43:44,2025-10-20 14:44:43,2025-10-20,medium,heavy delay,free flowing,519,test_input_15
