Funding Org: Org subventionnaire,Country Served:Pays servis,Province Served:Province servis,Fiscal Year:Année fiscal,"Grant Programme:Title:Programme, titre",Geographical Area Served:Région servis,Cross-catchment indicator:,Identifier:Identificateur,Organization name:Nom d'organisme,Submission date: Date de soumission,Approval date:Date approvée,Amount Applied For:Montant demandé,Amount Awarded:Montant décerné,Planned Dates:Duration (months):Dates planifiées:durée(mois),Description (English/Anglais),Description (French/Français),Budget Fund:Fonds du budget,Recipient Org:Incorporation Number:Org du bénéficiaires: Numéro d'incorporation,Recipient Org:Charitable Registration Number: Org du bénéficiaires:Numéro d'enregistrement d'organisme de bienfaisance,Recipient Org:City:Org du bénéficiaires:Ville,Recipient Org:Postal Code: Org du bénéficiaires:code postale,Co-Application:Co-demandeurs,Population Served:Population servis,Age Group:Groupe d'âge,Grant Result:Résultat de subvention,Last modified:Mise à jour
Ontario Trillium Foundation ,Canada,Ontario,2013-2014,Youth Opportunities Fund ,"Durham, Haliburton, Kawartha, Pine Ridge",No,2Y13140000155,Afghan Mentorship Program c/o Herizon House,1/24/2014,3/19/2014,6000,6000,12,"$6,000 over one year to initiate a mentorship program with twenty Afghani youth in Durham. Mentorship activities will include a homework club and guest speaker sessions.","6 000 $, échelonnés sur un an, afin d’instaurer un programme de mentorat avec 20 jeunes Afghans dans Durham. Les activités de mentorat incluront un club de devoirs et des séances avec des conférenciers.",Grassroots Innovation,,897222097RR0001,Ajax,L1S 7H2,Yes,Newcomer youth;Racialized youth (other than Black youth);Youth at-risk of dropping out or have dropped out of school;Youth in low-income situations or from low-income families;Youth vulnerable of becoming or are in conflict with the law,12 to 14 years;15 to 19 years,"Youth form and maintain healthy, close relationships",3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2013-2014,Youth Opportunities Fund ,Toronto ,No,2Y13140000101,Asha Bengali Girls Society c/o Access Alliance Multicultural Health and Community Services,1/24/2014,3/19/2014,17300,17300,12,"$17,300 for one year to fund Asha’s Empowerment Project. This program will serve Bengali-Canadian young women and girls. Located in East York, this program will support weekly workshops on topics like self-expression and media literacy, and help participants learn new skills like sports or arts projects. ","17 300 $, échelonnés sur un an, afin de financer l’initiative Asha’s Empowerment Project. Ce programme servira les jeunes femmes et filles canadiennes d’origine bengalaise. Ce programme sera offert dans East York et appuiera des ateliers hebdomadaires sur des sujets comme l’expression personnelle et la littératie médiatique; il aidera aussi les participantes à acquérir de nouvelles compétences dans des domaines comme les sports ou les arts.",Grassroots Innovation,719952,123636664RR0001,Toronto,M5T 3A9,Yes,Newcomer youth;Racialized youth (other than Black youth);Youth in low-income situations or from low-income families,12 to 14 years;15 to 19 years;20 to 25 years,"Youth form and maintain healthy, close relationships",3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2013-2014,Youth Opportunities Fund ,Toronto ,No,2Y13140000315,Building it to Suit Youth (BITSY) c/o Youth Action Network,1/24/2014,3/19/2014,25000,25000,12,"$25,000 over one year to build a safe space for marginalized youth at the Don Montgomery Community Recreation Centre in Toronto. A Youth Cabinet will be created to respond to youth needs and advocate on behalf of youth in the community and build programs for the space. ","25 000 $, échelonnés sur un an, afin de créer un espace sécuritaire pour les jeunes marginalisés au Don Montgomery Community Recreation Centre, à Toronto. On créera un Cabinet des jeunes pour répondre aux besoins des jeunes et faire de la représentation en leur nom dans la communauté ainsi que pour élaborer des programmes qui seront offerts à cet endroit.",Grassroots Innovation,,136303195RR0001,Toronto,M6P 3S2,Yes,Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Newcomer youth;Youth at-risk of dropping out or have dropped out of school;Youth in low-income situations or from low-income families;Youth vulnerable of becoming or are in conflict with the law,12 to 14 years;15 to 19 years;20 to 25 years,"Youth are engaged in their community;Youth know about, and can easily access resources and opportunities in their commmunity",3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2013-2014,Youth Opportunities Fund ,Toronto ,No,2Y13140000333,Sisters of the Soil c/o Canadian Roots Exchange,1/24/2014,3/19/2014,25000,25000,12,"$25,000 over one year to build solidarity between young women aged 12-18 in the indigenous and African Canadian communities in Toronto. They will participate in workshops with a theme of reconciliation, women’s empowerment and strengthening relations between these two communities. ","25 000 $, échelonnés sur un an, afin de renforcer la solidarité entre les jeunes femmes de 12 à 18 ans dans les communautés autochtones et afro-canadiennes de Toronto. Elles participeront à des ateliers ayant pour thèmes la réconciliation, l’autonomisation des femmes et le renforcement des relations entre ces deux communautés.",Grassroots Innovation,,832296602RR0001,Toronto,M5S 1V4,Yes,"Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Indigenous youth (i.e. First Nations, Métis or Inuit youth);Youth in low-income situations or from low-income families",12 to 14 years;15 to 19 years,Youth are engaged in their community,3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2013-2014,Youth Opportunities Fund ,Simcoe York,No,2Y13140000135,Gibson Youth Success Initiatives c/o Toronto Chinese Community Church,1/24/2014,3/19/2014,25000,25000,12,"$25,000 over one year to provide academic support through a tutoring program for low-income, new immigrant and/or racialized youth in York Region. The program will also help young people to develop the necessary experience and leadership skills to become tutors to other youth. ","25 000 $, échelonnés sur un an, afin d’offrir du soutien scolaire grâce à un programme de tutorat à l’intention des jeunes à faible revenu, nouveaux immigrants et/ou racialisés de la région de York. Le programme aidera aussi les jeunes à acquérir l’expérience et les compétences en leadership nécessaires pour devenir tuteurs pour d’autres jeunes.",Grassroots Innovation,3545580,108114026RR0001,Markham,L3R 5A2,Yes,Newcomer youth;Racialized youth (other than Black youth);Youth in low-income situations or from low-income families,12 to 14 years;15 to 19 years;20 to 25 years,"Youth have at least one consistent, caring person in their lives",3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2013-2014,Youth Opportunities Fund ,Toronto ,No,2Y13140000358,KeepRockinYou c/o Art Starts,1/24/2014,3/19/2014,23200,24700,12,"$24,700 over one year to engage ten girls aged 12-25 in weekly breakdancing workshops and sharing circles. These workshops will teach the fundamentals in breakdancing, connecting these to teamwork, overcoming challenges and fears, and thinking outside the box. ","24 700 $, échelonnés sur un an, afin de faire participer dix filles de 12 à 25 ans à des ateliers de breakdancing et à des cercles de partage hebdomadaires. Ces ateliers enseigneront les principes fondamentaux du breakdancing, en faisant un lien avec le travail d’équipe, ce qui aidera les participantes à surmonter leurs difficultés et leurs peurs ainsi qu’à penser autrement.",Grassroots Innovation,,13425 7765 RR0001,Toronto,M6A 2T9,Yes,"Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Racialized youth (other than Black youth);Lesbian, gay, bi-sexual, transgender, two-spirit, queer (LGBTTQ+) youth;Newcomer youth;Youth at-risk of dropping out or have dropped out of school;Youth in care or leaving care;Youth in low-income situations or from low-income families;Youth vulnerable of becoming or are in conflict with the law",12 to 14 years;15 to 19 years;20 to 25 years,Youth are engaged in their community,3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2013-2014,Youth Opportunities Fund ,Toronto ,No,2Y13140000376,Krafty Queers c/o SKETCH,1/24/2014,3/19/2014,25000,25000,12,"$25,000 over one year to provide a safe space for queer and trans-gendered youth in Toronto and Peel to socialize and create art with the help of program facilitators. Funding will allow this program to be free of charge, therefore decreasing barriers to participation. ","25 000 $, échelonnés sur un an, afin d’offrir un espace sécuritaire aux jeunes allosexuels et transgenres de Toronto et Peel leur permettant de socialiser et créer des œuvres d’art avec l’aide de facilitateurs de programme. La subvention permettra d’offrir ce programme gratuitement, ce qui diminuera les obstacles à la participation.",Grassroots Innovation,,85912 8332 RR0001,Toronto,M6J 2W5,Yes,"Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Racialized youth (other than Black youth);Lesbian, gay, bi-sexual, transgender, two-spirit, queer (LGBTTQ+) youth;Newcomer youth;Youth at-risk of dropping out or have dropped out of school;Youth in care or leaving care;Youth in low-income situations or from low-income families;Youth vulnerable of becoming or are in conflict with the law",15 to 19 years;20 to 25 years;12 to 29 years for youth with special needs or disabilities,Youth are engaged in their community,3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2013-2014,Youth Opportunities Fund ,"Toronto;Durham, Haliburton, Kawartha, Pine Ridge",Yes,2Y13140000156,Out of the Box c/o Youth Action Network,1/24/2014,3/19/2014,25000,25000,12,"$25,000 over one year to engage youth aged 15-25 in the Victoria Park and Eglinton areas of Scarborough in building trade skills. This is an intensive summer program designed to build social and support networks, gain skills training, enhance employment opportunities, while working within an anti-racist framework to explore systems barriers. ","25 000 $, échelonnés sur un an, afin de permettre aux jeunes de 15 à 25 ans des quartiers Victoria Park et Eglinton, à Scarborough, d’apprendre des métiers. Il s’agit d’un programme d’été intensif conçu pour bâtir des réseaux sociaux et de soutien, acquérir des compétences et améliorer les possibilités d’emploi, tout en travaillant dans un cadre antiraciste pour explorer les obstacles aux systèmes.",Grassroots Innovation,,136303195RR0001,Toronto,M6P 3S2,Yes,Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Newcomer youth;Youth at-risk of dropping out or have dropped out of school;Youth in low-income situations or from low-income families;Youth vulnerable of becoming or are in conflict with the law,15 to 19 years;20 to 25 years,Youth know about and easily navigate resources and opportunities in their communities,3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2013-2014,Youth Opportunities Fund ,Toronto,No,2Y13140000234,PROSE c/o Centre for Community Learning & Development,1/24/2014,3/19/2014,20800,20800,12,"$20,800 over one year to provide youth in Regent Park with weekly workshops. The workshops will be an opportunity for young people to learn about conflict resolution, self-care, sexual health and safety. ","20 800 $, échelonnés sur un an, afin d’offrir des ateliers hebdomadaires aux jeunes de Regent Park. Les ateliers offriront aux jeunes la possibilité de se familiariser avec la résolution de conflits, les soins personnels ainsi que la santé et la sécurité sexuelles.",Grassroots Innovation,,119266427RR0001,Toronto,M5A 2G3,Yes,Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Newcomer youth;Youth at-risk of dropping out or have dropped out of school;Youth in low-income situations or from low-income families;Youth vulnerable of becoming or are in conflict with the law,15 to 19 years,"Youth form and maintain healthy, close relationships",3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2013-2014,Youth Opportunities Fund ,Halton Peel,No,2Y13140000253,Regional Youth Roundtable c/o ACCESS Charity,1/24/2014,3/19/2014,24600,25000,12,"$25,000 over one year  to assemble a Regional Youth Roundtable for 17 youth-led organizations in Peel region. This roundtable will coordinate efforts in the youth sector in this region. ","25 000 $, échelonnés sur un an, afin de tenir une table ronde régionale de jeunes pour les 17 organismes dirigés par des jeunes de la région de Peel. Cette table ronde coordonnera les efforts dans le secteur des jeunes de cette région.",Grassroots Innovation,1766228,,Brampton,L6R 1M2,Yes,"Lesbian, gay, bi-sexual, transgender, two-spirit, queer (LGBTTQ+) youth;Newcomer youth;Newcomer youth;Racialized youth (other than Black youth);Racialized youth (other than Black youth);Youth at-risk of dropping out or have dropped out of school;Youth in low-income situations or from low-income families;Youth living with disabilities or special needs between the ages of 12 to 29;Youth vulnerable of becoming or are in conflict with the law",12 to 14 years;15 to 19 years;20 to 25 years;12 to 29 years for youth with special needs or disabilities,Youth are engaged in their community,3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2013-2014,Youth Opportunities Fund ,Simcoe York,No,2Y13140000201,Silver Linings 2013 c/o Community Living York South,1/24/2014,3/19/2014,17300,25000,12,"$25,000 over one year to fund a pre-employment training program in Richmond Hill for youth with special needs. With the help of their parents, participants will receive the necessary training to operate a tuck shop inside a senior’s residence. ","25 000 $, échelonnés sur un an, afin de financer un programme de formation préalable à l’emploi à Richmond Hill, à l’intention des jeunes ayant des besoins spéciaux. Avec l’aide de leurs parents, ces jeunes recevront la formation nécessaire pour gérer une confiserie dans une résidence pour personnes âgées.",Grassroots Innovation,,108226556RR0001,Richmond Hill,L4C 5E5,Yes,Racialized youth (other than Black youth);Youth living with disabilities or special needs between the ages of 12 to 29,12 to 29 years for youth with special needs or disabilities,"Youth form and maintain healthy, close relationships",3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2013-2014,Youth Opportunities Fund ,Halton Peel,No,2Y13140000253,Regional Youth Roundtable c/o ACCESS Charity,1/24/2014,3/19/2014,25000,25000,12,"$25,000 over one year to build an online community for South Asian LGBTQQ youth in the Greater Toronto Area. The project will support the work of a community researcher, web designer, web developer and outreach/engagement coordinator.","25 000 $, échelonnés sur un an, afin de mettre sur pied une communauté en ligne pour les jeunes LGBTQQ sud-asiatiques de la région du Grand Toronto. Le projet appuiera l’embauche d’un chercheur communautaire, d’un concepteur Web, d’un développeur Web ainsi que d’un coordonnateur de sensibilisation et de mobilisation.",Grassroots Innovation,,119094449RR0001,Toronto,M5R 1A9,Yes,"Lesbian, gay, bi-sexual, transgender, two-spirit, queer (LGBTTQ+) youth;Newcomer youth;Newcomer youth;Racialized youth (other than Black youth);Racialized youth (other than Black youth);Youth at-risk of dropping out or have dropped out of school;Youth in low-income situations or from low-income families;Youth living with disabilities or special needs between the ages of 12 to 29;Youth vulnerable of becoming or are in conflict with the law",12 to 14 years;15 to 19 years;20 to 25 years;12 to 29 years for youth with special needs or disabilities,Youth are engaged in their community,3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2013-2014,Youth Opportunities Fund ,Toronto,No,2Y13140000372,Words of Wisdom (WOW) c/o WoodGreen Community Services,1/24/2014,3/19/2014,25000,25000,12,"$25,000 over one to create an empowerment program for young women in Regent Park, St. Jamestown and Moss Park in Toronto. The program will include a book club, guest speakers and workshop sessions related to the formation of identity. ","25 000 $, échelonnés sur un an, afin de créer un programme d’autonomisation à l’intention des jeunes femmes de Regent Park, de St. Jamestown et de Moss Park à Toronto. Le programme inclura un club de lecture, des séances avec des conférenciers et des ateliers qui permettront d’explorer des idées relatives à l’identité.",Grassroots Innovation,,108220435RR0002,Toronto,M4J 1L2,Yes,Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Newcomer youth;Youth at-risk of dropping out or have dropped out of school;Youth in care or leaving care;Youth in low-income situations or from low-income families;Youth vulnerable of becoming or are in conflict with the law,15 to 19 years,"Youth are engaged in their community;Youth know about, and can easily access resources and opportunities in their commmunity",3/5/2020 0:00
