ID,Gender,Race,Age,Age_Group,Income,Credit_Score,Loan_Amount,Employment_Type,Education_Level,Citizenship_Status,Language_Proficiency,Disability_Status,Criminal_Record,Zip_Code_Group
35,Male,White,44,25-60,45016,741,438761,Full-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban
36,Male,White,77,Over 60,115061,773,63201,Full-time,Graduate,Citizen,Fluent,No,No,Urban Professional
37,Female,White,56,25-60,53100,519,61889,Full-time,Graduate,Citizen,Fluent,No,No,High-income Suburban
38,Non-binary,Hispanic,36,25-60,150491,624,254138,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban
39,Male,White,70,Over 60,157758,581,235401,Gig,High School,Citizen,Fluent,No,No,Working Class Urban
40,Male,White,41,25-60,96577,502,162790,Full-time,High School,Citizen,Limited,No,No,Urban Professional
41,Female,Native American,58,25-60,169410,515,250819,Full-time,Graduate,Citizen,Fluent,No,No,High-income Suburban
42,Male,White,20,Under 25,97856,827,306865,Part-time,Some College,Citizen,Fluent,No,No,Working Class Urban
43,Female,Black,26,25-60,155037,545,195102,Self-employed,High School,Citizen,Fluent,Yes,No,Rural
44,Female,Hispanic,51,25-60,97373,660,318204,Self-employed,Some College,Citizen,Fluent,No,No,Rural
45,Male,White,67,Over 60,140509,821,205238,Full-time,Some College,Citizen,Fluent,No,No,Working Class Urban
46,Female,White,52,25-60,113600,736,101908,Gig,Some College,Citizen,Fluent,No,No,Urban Professional
47,Male,Black,30,25-60,26577,604,220824,Part-time,Graduate,Citizen,Fluent,No,No,Historically Redlined
48,Female,White,40,25-60,109882,739,343159,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional
49,Male,White,43,25-60,122878,700,120792,Gig,High School,Citizen,Fluent,No,No,Working Class Urban
50,Female,White,44,25-60,47948,722,398173,Full-time,Bachelor's,Citizen,Fluent,No,Yes,Working Class Urban
51,Male,White,78,Over 60,87825,581,196456,Full-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban
52,Female,Asian,37,25-60,148225,720,371411,Self-employed,High School,Citizen,Fluent,No,No,Working Class Urban
53,Male,White,74,Over 60,97493,636,238036,Part-time,High School,Permanent Resident,Fluent,Yes,No,Historically Redlined
54,Female,White,44,25-60,60419,695,119876,Full-time,High School,Citizen,Fluent,No,No,Urban Professional
55,Male,Native American,58,25-60,25095,813,161764,Full-time,High School,Visa Holder,Fluent,No,No,Rural
56,Male,White,55,25-60,173561,565,157039,Full-time,High School,Citizen,Fluent,No,No,Urban Professional
57,Female,Asian,23,Under 25,78078,689,118086,Full-time,High School,Citizen,Limited,No,No,Historically Redlined
58,Female,Black,79,Over 60,141428,825,150930,Full-time,High School,Citizen,Fluent,No,No,Rural
59,Male,Hispanic,47,25-60,98997,581,265098,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban
60,Male,Black,67,Over 60,139434,592,165535,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban
61,Male,White,55,25-60,101641,513,91281,Gig,High School,Citizen,Fluent,Yes,Yes,Urban Professional
62,Female,Hispanic,77,Over 60,99158,847,369526,Full-time,High School,Visa Holder,Fluent,No,No,High-income Suburban
63,Female,White,73,Over 60,59335,588,109048,Full-time,Some College,Citizen,Fluent,No,No,Rural
64,Female,White,33,25-60,117336,560,128474,Self-employed,Bachelor's,Citizen,Fluent,No,No,Rural
65,Female,Hispanic,57,25-60,166913,843,341753,Gig,Graduate,Citizen,Fluent,No,No,Urban Professional
66,Male,Multiracial,26,25-60,42455,848,200822,Full-time,Bachelor's,Citizen,Fluent,No,Yes,Urban Professional
67,Female,White,74,Over 60,154902,600,397328,Full-time,Bachelor's,Permanent Resident,Fluent,Yes,No,Working Class Urban
68,Female,White,22,Under 25,141832,834,373764,Full-time,Bachelor's,Citizen,Fluent,Yes,No,High-income Suburban
69,Female,White,44,25-60,37608,553,432018,Full-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban
70,Female,White,21,Under 25,52323,780,226165,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban
71,Male,Black,40,25-60,129288,603,130454,Full-time,High School,Citizen,Fluent,Yes,No,High-income Suburban
72,Female,Black,70,Over 60,66642,835,439845,Full-time,Bachelor's,Citizen,Fluent,No,No,Historically Redlined
73,Female,White,51,25-60,154269,649,75612,Part-time,High School,Citizen,Fluent,No,No,Working Class Urban
74,Male,White,59,25-60,144168,675,122719,Full-time,Bachelor's,Citizen,Fluent,No,No,Historically Redlined
75,Female,White,56,25-60,93929,575,165907,Full-time,Graduate,Citizen,Fluent,No,No,Working Class Urban
76,Female,White,43,25-60,151436,731,248533,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban
77,Male,White,36,25-60,124409,804,306466,Self-employed,High School,Visa Holder,Fluent,No,No,Historically Redlined
78,Male,White,21,Under 25,84325,643,101615,Self-employed,Some College,Citizen,Fluent,No,No,High-income Suburban
79,Female,White,33,25-60,26993,606,322198,Full-time,Bachelor's,Citizen,Fluent,Yes,No,High-income Suburban
80,Female,White,70,Over 60,163348,751,387306,Full-time,Graduate,Citizen,Fluent,No,No,Urban Professional
81,Male,White,69,Over 60,158645,772,216643,Gig,Bachelor's,Citizen,Fluent,No,No,Urban Professional
82,Male,White,19,Under 25,131613,752,444025,Part-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban
83,Male,Black,80,Over 60,162368,773,118977,Gig,Bachelor's,Citizen,Fluent,No,No,Working Class Urban
84,Female,White,31,25-60,151992,719,280229,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban
85,Female,Asian,38,25-60,30006,576,138792,Full-time,High School,Citizen,Fluent,No,No,Urban Professional
86,Female,Black,61,Over 60,54905,592,326400,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban
87,Non-binary,White,58,25-60,171486,694,365877,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban
88,Female,Hispanic,45,25-60,171604,594,281611,Part-time,Bachelor's,Citizen,Fluent,Yes,No,Rural
89,Male,Black,25,25-60,137616,668,383318,Part-time,Some College,Citizen,Fluent,No,No,Historically Redlined
90,Female,White,23,Under 25,76930,766,69317,Gig,Bachelor's,Permanent Resident,Fluent,No,No,Urban Professional
91,Female,Hispanic,35,25-60,58392,601,360066,Full-time,Some College,Citizen,Fluent,No,No,Rural
92,Male,White,53,25-60,156983,703,76077,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban
93,Male,Black,28,25-60,80714,693,152104,Full-time,High School,Citizen,Fluent,No,No,Urban Professional
94,Male,White,68,Over 60,117537,820,378125,Full-time,Bachelor's,Citizen,Fluent,No,Yes,Urban Professional
95,Male,Asian,79,Over 60,106324,696,56671,Gig,Bachelor's,Citizen,Fluent,No,Yes,Urban Professional
96,Male,Black,43,25-60,42991,557,182607,Part-time,Some College,Citizen,Fluent,Yes,Yes,Historically Redlined
97,Male,White,64,Over 60,172904,661,63469,Self-employed,Bachelor's,Citizen,Fluent,Yes,No,High-income Suburban
98,Male,Black,69,Over 60,76195,662,359893,Full-time,Graduate,Citizen,Fluent,No,No,High-income Suburban
99,Male,White,39,25-60,58652,568,177046,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban
100,Female,White,73,Over 60,118108,527,332418,Part-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban
101,Male,White,43,25-60,174929,693,59993,Full-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban
102,Female,White,23,Under 25,142461,578,341409,Part-time,Graduate,Citizen,Fluent,No,No,Urban Professional
103,Male,Hispanic,29,25-60,124100,548,126206,Full-time,Some College,Permanent Resident,Fluent,Yes,No,Urban Professional
104,Male,Native American,58,25-60,39729,551,188119,Full-time,Bachelor's,Permanent Resident,Fluent,No,No,High-income Suburban
105,Male,White,33,25-60,82111,707,59316,Full-time,Bachelor's,Citizen,Fluent,No,No,Rural
106,Female,Hispanic,64,Over 60,59867,667,337406,Gig,Graduate,Permanent Resident,Fluent,No,No,Urban Professional
107,Male,Hispanic,40,25-60,66289,732,246420,Part-time,High School,Citizen,Fluent,No,No,High-income Suburban
108,Non-binary,White,62,Over 60,77548,501,362863,Part-time,High School,Citizen,Fluent,No,No,Rural
109,Male,Black,65,Over 60,82973,552,294312,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban
110,Female,White,31,25-60,89641,692,417446,Self-employed,Some College,Citizen,Fluent,No,No,Urban Professional
111,Male,Hispanic,18,Under 25,25214,719,80613,Full-time,High School,Permanent Resident,Fluent,No,No,Rural
112,Male,White,31,25-60,83977,661,374654,Part-time,Some College,Visa Holder,Fluent,No,No,High-income Suburban
113,Male,White,57,25-60,158615,716,253908,Full-time,Bachelor's,Citizen,Limited,Yes,No,Working Class Urban
114,Female,Hispanic,78,Over 60,126748,735,265938,Gig,Some College,Permanent Resident,Fluent,No,No,Rural
115,Male,White,35,25-60,112707,539,215561,Full-time,High School,Citizen,Fluent,No,No,Urban Professional
116,Female,White,36,25-60,64978,787,419057,Full-time,Some College,Citizen,Fluent,No,No,Working Class Urban
117,Female,White,32,25-60,114990,634,355305,Part-time,High School,Citizen,Fluent,No,No,Historically Redlined
118,Male,White,32,25-60,53080,588,148944,Full-time,Bachelor's,Citizen,Fluent,Yes,No,Historically Redlined
119,Male,White,32,25-60,130310,779,101397,Part-time,Graduate,Citizen,Fluent,No,No,Rural
120,Male,White,72,Over 60,142049,528,104948,Gig,High School,Citizen,Fluent,No,No,Urban Professional
121,Female,White,40,25-60,85981,576,129994,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban
122,Female,White,33,25-60,93011,847,349871,Part-time,Bachelor's,Citizen,Limited,No,No,Rural
123,Male,White,50,25-60,160017,800,85294,Full-time,Bachelor's,Visa Holder,Fluent,No,No,Working Class Urban
124,Female,Hispanic,47,25-60,167414,614,104183,Self-employed,High School,Citizen,Fluent,No,Yes,Urban Professional
125,Male,Asian,56,25-60,129742,787,242904,Full-time,Graduate,Permanent Resident,Fluent,No,No,Rural
126,Male,White,48,25-60,97066,664,319048,Full-time,High School,Citizen,Fluent,No,No,Historically Redlined
127,Female,White,21,Under 25,43375,527,222073,Full-time,Bachelor's,Citizen,Fluent,No,No,Rural
128,Female,White,67,Over 60,52963,599,363888,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban
129,Male,White,70,Over 60,133869,634,89026,Part-time,Graduate,Citizen,Fluent,No,No,Historically Redlined
130,Male,White,67,Over 60,121272,500,358290,Part-time,High School,Citizen,Fluent,No,No,Working Class Urban
131,Female,White,63,Over 60,153814,837,305373,Unemployed,Bachelor's,Citizen,Fluent,No,No,High-income Suburban
132,Male,White,79,Over 60,88984,813,425456,Part-time,High School,Permanent Resident,Fluent,No,No,Historically Redlined
133,Male,White,26,25-60,109566,679,104500,Full-time,Graduate,Citizen,Fluent,No,No,High-income Suburban
134,Female,White,72,Over 60,136320,523,309727,Full-time,Some College,Citizen,Fluent,No,Yes,Rural
135,Female,White,47,25-60,120812,694,214612,Self-employed,Bachelor's,Permanent Resident,Fluent,No,No,Rural
136,Male,White,54,25-60,31264,582,414921,Part-time,Bachelor's,Citizen,Fluent,No,Yes,High-income Suburban
137,Female,White,67,Over 60,54843,824,369085,Full-time,Graduate,Citizen,Fluent,No,No,Urban Professional
138,Female,Hispanic,44,25-60,112356,801,196855,Part-time,High School,Citizen,Fluent,No,No,Working Class Urban
139,Non-binary,Asian,59,25-60,163165,506,257844,Self-employed,Some College,Citizen,Limited,No,No,Rural
140,Male,White,78,Over 60,40944,726,424026,Part-time,Some College,Citizen,Fluent,No,No,Working Class Urban
141,Male,White,70,Over 60,139334,571,321667,Part-time,High School,Citizen,Limited,No,No,Working Class Urban
142,Male,White,23,Under 25,93428,574,148762,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional
143,Female,Multiracial,61,Over 60,89727,843,117512,Full-time,High School,Permanent Resident,Fluent,No,No,Historically Redlined
144,Male,White,33,25-60,174642,762,383400,Part-time,High School,Citizen,Fluent,No,No,Working Class Urban
145,Female,White,38,25-60,135149,724,94202,Full-time,High School,Citizen,Fluent,Yes,No,Historically Redlined
146,Female,Black,76,Over 60,103622,842,206738,Gig,Bachelor's,Citizen,Limited,Yes,Yes,Urban Professional
147,Male,White,27,25-60,88331,807,248436,Full-time,High School,Permanent Resident,Fluent,No,No,Urban Professional
148,Female,White,34,25-60,131037,777,240304,Full-time,High School,Citizen,Limited,No,No,High-income Suburban
149,Male,Black,66,Over 60,51750,812,53891,Full-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban
150,Male,White,77,Over 60,157889,506,152193,Full-time,Graduate,Permanent Resident,Fluent,No,No,Rural
151,Female,Hispanic,71,Over 60,60224,614,51417,Full-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban
152,Female,White,22,Under 25,90400,604,175483,Part-time,High School,Citizen,Fluent,No,No,Working Class Urban
153,Female,White,73,Over 60,42337,796,180564,Full-time,Graduate,Citizen,Limited,No,No,Working Class Urban
154,Male,White,56,25-60,34136,744,279558,Part-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban
155,Male,White,28,25-60,26581,505,443540,Part-time,High School,Citizen,Fluent,No,No,High-income Suburban
156,Male,White,30,25-60,87471,698,143025,Full-time,Bachelor's,Permanent Resident,Limited,No,No,High-income Suburban
157,Male,Black,52,25-60,173149,576,308588,Full-time,Some College,Citizen,Fluent,No,No,Urban Professional
158,Female,White,20,Under 25,59341,801,423490,Full-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban
159,Male,Multiracial,65,Over 60,131817,598,245568,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban
160,Female,Black,20,Under 25,157660,512,374433,Part-time,High School,Citizen,Fluent,No,No,Working Class Urban
161,Male,Hispanic,66,Over 60,99266,569,301440,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban
162,Non-binary,White,26,25-60,139991,689,393713,Full-time,Bachelor's,Citizen,Fluent,No,No,Historically Redlined
163,Female,White,34,25-60,34732,704,310748,Part-time,Some College,Citizen,Fluent,No,Yes,High-income Suburban
164,Male,White,59,25-60,135385,647,357723,Gig,Bachelor's,Citizen,Fluent,No,No,High-income Suburban
165,Female,White,82,Over 60,40362,719,190508,Full-time,Some College,Citizen,Fluent,No,No,Urban Professional
166,Male,Asian,48,25-60,157119,711,197031,Full-time,High School,Citizen,Fluent,No,No,Urban Professional
167,Male,White,47,25-60,51249,749,268620,Full-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban
168,Female,White,48,25-60,118802,559,368971,Full-time,Bachelor's,Visa Holder,Fluent,No,No,Historically Redlined
169,Female,Hispanic,56,25-60,121221,591,91769,Part-time,High School,Citizen,Fluent,No,No,Rural
170,Male,White,53,25-60,165281,674,72418,Gig,Bachelor's,Citizen,Fluent,No,No,Historically Redlined
171,Female,White,75,Over 60,61488,817,331772,Full-time,Bachelor's,Permanent Resident,Fluent,No,No,Urban Professional
172,Female,White,19,Under 25,146063,692,80654,Full-time,Bachelor's,Visa Holder,Fluent,No,No,Historically Redlined
173,Male,Hispanic,21,Under 25,142078,536,135819,Gig,Graduate,Citizen,Fluent,No,No,Rural
174,Male,White,47,25-60,49129,779,122109,Full-time,Some College,Citizen,Fluent,No,No,Urban Professional
175,Male,White,60,25-60,102164,675,393770,Part-time,Some College,Citizen,Limited,No,No,Urban Professional
176,Female,White,18,Under 25,51814,806,401076,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional
177,Female,White,39,25-60,151591,657,64018,Full-time,Graduate,Citizen,Limited,No,No,Working Class Urban
178,Female,Hispanic,65,Over 60,29494,649,356613,Full-time,Bachelor's,Citizen,Limited,No,No,Historically Redlined
179,Female,White,42,25-60,114331,684,92285,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban
180,Male,Black,62,Over 60,121533,518,264177,Full-time,Some College,Citizen,Fluent,No,No,Working Class Urban
181,Male,White,33,25-60,54490,764,104640,Self-employed,High School,Citizen,Fluent,No,No,Urban Professional
182,Male,Black,57,25-60,60718,511,193481,Unemployed,Bachelor's,Citizen,Fluent,Yes,No,High-income Suburban
183,Male,White,60,25-60,43920,514,372293,Part-time,Graduate,Citizen,Fluent,Yes,No,Working Class Urban
184,Male,White,66,Over 60,28075,546,370766,Part-time,Some College,Citizen,Fluent,No,No,Working Class Urban
185,Female,White,70,Over 60,74557,724,273902,Part-time,Graduate,Citizen,Fluent,No,No,Urban Professional
186,Male,Hispanic,36,25-60,28076,547,154516,Part-time,Bachelor's,Citizen,Fluent,No,Yes,Working Class Urban
187,Female,Multiracial,52,25-60,46640,782,414053,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban
188,Female,White,43,25-60,34715,541,259351,Full-time,High School,Citizen,Fluent,No,No,Urban Professional
189,Female,White,31,25-60,160501,559,182486,Full-time,High School,Permanent Resident,Fluent,No,No,Working Class Urban
190,Female,White,60,25-60,88007,613,120379,Full-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban
191,Female,White,77,Over 60,26333,784,385257,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban
192,Female,White,45,25-60,170271,675,316225,Full-time,High School,Citizen,Fluent,Yes,No,Rural
193,Female,White,35,25-60,70958,848,368321,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban
194,Female,White,77,Over 60,75937,500,89516,Full-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban
195,Female,Black,41,25-60,128495,642,215295,Unemployed,High School,Citizen,Limited,No,No,High-income Suburban
196,Female,White,38,25-60,160356,542,284387,Full-time,Some College,Citizen,Fluent,No,No,Urban Professional
197,Male,White,35,25-60,103874,531,60099,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban
198,Female,White,56,25-60,63417,543,297419,Part-time,Some College,Citizen,Fluent,No,Yes,High-income Suburban
199,Female,White,50,25-60,32643,673,411224,Full-time,Some College,Citizen,Fluent,No,No,Working Class Urban
200,Male,White,48,25-60,71595,533,197670,Full-time,Bachelor's,Permanent Resident,Fluent,No,No,Working Class Urban
201,Male,White,18,Under 25,138086,659,150204,Gig,Some College,Visa Holder,Fluent,No,No,High-income Suburban
202,Female,White,58,25-60,147127,808,388672,Full-time,Graduate,Citizen,Fluent,No,No,Working Class Urban
203,Male,White,75,Over 60,71847,777,80378,Full-time,High School,Citizen,Fluent,No,No,Urban Professional
204,Female,Black,68,Over 60,134300,722,56160,Full-time,Some College,Citizen,Fluent,No,No,Historically Redlined
205,Female,Asian,25,25-60,174863,574,184188,Full-time,Some College,Citizen,Limited,No,No,Working Class Urban
206,Male,White,64,Over 60,73130,539,199062,Full-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban
207,Male,White,60,25-60,116777,775,320964,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional
208,Female,White,42,25-60,35005,715,119942,Full-time,Bachelor's,Citizen,Limited,Yes,No,High-income Suburban
209,Female,White,23,Under 25,98306,815,252208,Full-time,Bachelor's,Citizen,Fluent,No,No,Rural
210,Female,Hispanic,63,Over 60,125074,628,379925,Full-time,Graduate,Citizen,Fluent,No,No,High-income Suburban
211,Male,White,58,25-60,145639,699,217355,Full-time,High School,Permanent Resident,Fluent,No,No,Historically Redlined
212,Male,White,45,25-60,40631,555,364797,Part-time,Graduate,Citizen,Fluent,No,No,Urban Professional
213,Male,Black,38,25-60,67189,742,330051,Full-time,Bachelor's,Citizen,Limited,No,No,High-income Suburban
214,Male,Hispanic,41,25-60,80559,672,69254,Full-time,Bachelor's,Visa Holder,Limited,No,No,Working Class Urban
215,Female,White,69,Over 60,144072,709,109962,Self-employed,Some College,Citizen,Fluent,No,No,High-income Suburban
216,Female,White,48,25-60,83063,607,76381,Part-time,Bachelor's,Citizen,Limited,No,No,Working Class Urban
217,Male,White,61,Over 60,50906,729,411866,Self-employed,High School,Citizen,Fluent,No,No,Urban Professional
218,Female,Hispanic,35,25-60,59608,522,390940,Part-time,High School,Citizen,Fluent,No,No,High-income Suburban
219,Male,White,44,25-60,59617,541,170546,Full-time,Some College,Citizen,Fluent,No,No,Urban Professional
220,Female,Hispanic,19,Under 25,123457,691,72815,Full-time,Some College,Citizen,Fluent,No,No,Working Class Urban
221,Female,White,47,25-60,126286,802,275615,Full-time,Bachelor's,Citizen,Fluent,No,Yes,High-income Suburban
222,Female,White,80,Over 60,59992,688,136764,Full-time,High School,Citizen,Limited,No,No,Rural
223,Female,White,57,25-60,125675,625,348392,Full-time,Graduate,Citizen,Fluent,No,No,High-income Suburban
224,Male,White,68,Over 60,40772,841,293767,Full-time,Graduate,Citizen,Limited,Yes,No,Working Class Urban
225,Male,White,79,Over 60,119812,670,359482,Full-time,High School,Permanent Resident,Fluent,No,No,Rural
226,Male,Hispanic,77,Over 60,126738,823,295028,Full-time,Bachelor's,Permanent Resident,Fluent,No,No,Working Class Urban
227,Male,Asian,20,Under 25,167593,586,71157,Full-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban
228,Female,White,66,Over 60,126051,552,351384,Gig,Graduate,Citizen,Fluent,No,No,High-income Suburban
229,Male,Hispanic,66,Over 60,171829,755,239275,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban
230,Male,White,23,Under 25,86743,769,249432,Full-time,Graduate,Citizen,Limited,No,No,Urban Professional
231,Female,White,38,25-60,67552,823,392092,Full-time,High School,Citizen,Fluent,No,No,Urban Professional
232,Male,White,46,25-60,153563,678,266537,Full-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban
233,Male,Black,36,25-60,102566,704,250062,Full-time,Bachelor's,Visa Holder,Limited,No,No,Working Class Urban
234,Male,Asian,57,25-60,117419,709,147842,Full-time,Graduate,Citizen,Fluent,No,No,Working Class Urban
235,Female,White,51,25-60,167824,597,185309,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban
236,Female,White,71,Over 60,70218,797,301705,Gig,High School,Citizen,Fluent,No,No,Urban Professional
237,Male,Hispanic,48,25-60,151978,725,350302,Self-employed,Bachelor's,Citizen,Fluent,No,No,Historically Redlined
238,Male,Hispanic,61,Over 60,105369,772,440983,Full-time,Bachelor's,Permanent Resident,Fluent,No,No,High-income Suburban
239,Female,Hispanic,76,Over 60,170062,836,250389,Self-employed,High School,Visa Holder,Fluent,No,Yes,High-income Suburban
240,Non-binary,Black,64,Over 60,155090,605,408434,Full-time,Some College,Citizen,Fluent,No,No,Urban Professional
241,Male,White,25,25-60,133247,613,232682,Full-time,Graduate,Citizen,Fluent,No,No,Urban Professional
242,Male,White,22,Under 25,92410,519,350509,Part-time,High School,Citizen,Fluent,No,No,Working Class Urban
243,Male,White,43,25-60,92717,663,287381,Full-time,Bachelor's,Citizen,Limited,No,No,High-income Suburban
244,Male,Hispanic,29,25-60,72631,625,333559,Part-time,High School,Citizen,Fluent,No,No,Urban Professional
245,Male,White,63,Over 60,112731,728,229745,Full-time,High School,Citizen,Fluent,Yes,No,High-income Suburban
246,Male,Black,27,25-60,112302,606,375543,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional
247,Non-binary,Hispanic,25,25-60,110795,631,272009,Gig,Bachelor's,Citizen,Fluent,Yes,No,Working Class Urban
248,Male,White,38,25-60,147426,513,274213,Full-time,Some College,Citizen,Fluent,Yes,No,Urban Professional
249,Male,White,66,Over 60,79776,543,102973,Full-time,Graduate,Citizen,Fluent,No,No,Urban Professional
250,Non-binary,Hispanic,39,25-60,169592,597,100705,Self-employed,High School,Citizen,Fluent,No,No,High-income Suburban
251,Female,White,25,25-60,119580,765,439308,Self-employed,Bachelor's,Citizen,Fluent,No,No,Urban Professional
252,Male,Black,79,Over 60,52104,806,52083,Full-time,High School,Permanent Resident,Fluent,No,No,High-income Suburban
253,Male,White,56,25-60,39697,573,180070,Self-employed,Bachelor's,Citizen,Limited,No,No,Historically Redlined
254,Male,Black,21,Under 25,108310,596,183830,Full-time,Graduate,Citizen,Fluent,No,Yes,Working Class Urban
